alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
2.0,60,10,3,1,32007,303014,0,180,180,1,0,60,0,180,d71ca0cb269d5e51,"(40, 1)",0.0,,,0.0,1.0
2.0,60,10,3,1,32007,303014,1,175,175,1,1,59,0,175,d71ca0cb269d5e51,"(26, 0)",0.0,,,0.0,2.0
2.0,60,10,3,1,32007,303014,2,172,172,1,2,58,0,172,d71ca0cb269d5e51,"(27, 2)",0.0,,,0.0,3.0
2.0,60,10,3,1,32007,303014,3,169,169,1,3,57,0,169,d71ca0cb269d5e51,"(57, 2)",0.0,,,0.0,4.0
2.0,60,10,3,1,32007,303014,4,165,165,1,4,56,0,165,d71ca0cb269d5e51,"(48, 1)",0.0,,,0.0,5.0
2.0,60,10,3,1,32007,303014,5,159,159,1,5,55,0,159,d71ca0cb269d5e51,"(24, 2)",0.0,,,0.0,6.0
2.0,60,10,3,1,32007,303014,6,153,153,1,6,54,0,153,d71ca0cb269d5e51,"(56, 1)",0.0,,,0.0,7.0
2.0,60,10,3,1,32007,303014,7,149,149,1,7,53,0,149,d71ca0cb269d5e51,"(17, 2)",0.0,,,0.0,8.0
2.0,60,10,3,1,32007,303014,8,145,145,1,8,52,0,145,d71ca0cb269d5e51,"(39, 2)",0.0,,,0.0,9.0
2.0,60,10,3,1,32007,303014,9,139,139,1,9,51,0,139,d71ca0cb269d5e51,"(33, 2)",0.0,,,0.0,10.0
2.0,60,10,3,1,32007,303014,10,135,135,1,10,50,0,135,d71ca0cb269d5e51,"(21, 2)",0.0,,,0.0,11.0
2.0,60,10,3,1,32007,303014,11,130,130,1,11,49,0,130,d71ca0cb269d5e51,"(49, 2)",0.0,,,0.0,12.0
2.0,60,10,3,1,32007,303014,12,126,126,1,12,48,0,126,d71ca0cb269d5e51,"(9, 1)",0.0,,,0.0,13.0
2.0,60,10,3,1,32007,303014,13,122,122,1,13,47,0,122,d71ca0cb269d5e51,"(10, 1)",0.0,,,0.0,14.0
2.0,60,10,3,1,32007,303014,14,118,118,1,14,46,0,118,d71ca0cb269d5e51,"(32, 0)",0.0,,,0.0,15.0
2.0,60,10,3,1,32007,303014,15,116,116,1,15,45,0,116,d71ca0cb269d5e51,"(52, 2)",0.0,,,0.0,16.0
2.0,60,10,3,1,32007,303014,16,114,114,1,16,44,0,114,d71ca0cb269d5e51,"(11, 1)",0.0,,,0.0,17.0
2.0,60,10,3,1,32007,303014,17,110,110,1,17,43,0,110,d71ca0cb269d5e51,"(34, 2)",0.0,,,0.0,18.0
2.0,60,10,3,1,32007,303014,18,105,105,1,18,42,0,105,d71ca0cb269d5e51,"(55, 1)",0.0,,,0.0,19.0
2.0,60,10,3,1,32007,303014,19,101,101,1,19,41,0,101,d71ca0cb269d5e51,"(38, 1)",0.0,,,0.0,20.0
2.0,60,10,3,1,32007,303014,20,97,97,1,20,40,0,97,d71ca0cb269d5e51,"(6, 0)",0.0,,,0.0,21.0
2.0,60,10,3,1,32007,303014,21,93,93,1,21,39,0,93,d71ca0cb269d5e51,"(30, 2)",0.0,,,0.0,22.0
2.0,60,10,3,1,32007,303014,22,89,89,1,22,38,0,89,d71ca0cb269d5e51,"(50, 2)",0.0,,,0.0,23.0
2.0,60,10,3,1,32007,303014,23,85,85,1,23,37,0,85,d71ca0cb269d5e51,"(5, 1)",0.0,,,0.0,24.0
2.0,60,10,3,1,32007,303014,24,82,82,1,24,36,0,82,d71ca0cb269d5e51,"(19, 0)",0.0,,,0.0,25.0
2.0,60,10,3,1,32007,303014,25,80,80,1,25,35,0,80,d71ca0cb269d5e51,"(35, 2)",0.0,,,0.0,26.0
2.0,60,10,3,1,32007,303014,26,77,77,1,26,34,0,77,d71ca0cb269d5e51,"(7, 2)",0.0,,,0.0,27.0
2.0,60,10,3,1,32007,303014,27,74,74,1,27,33,0,74,d71ca0cb269d5e51,"(15, 2)",0.0,,,0.0,28.0
2.0,60,10,3,1,32007,303014,28,72,72,1,28,32,0,72,d71ca0cb269d5e51,"(0, 2)",0.0,,,0.0,29.0
2.0,60,10,3,1,32007,303014,29,68,68,1,29,31,0,68,d71ca0cb269d5e51,"(51, 1)",0.0,,,0.0,30.0
2.0,60,10,3,1,32007,303014,30,66,66,1,30,30,0,66,d71ca0cb269d5e51,"(12, 0)",0.0,,,0.0,31.0
2.0,60,10,3,1,32007,303014,31,64,64,1,31,29,0,64,d71ca0cb269d5e51,"(8, 0)",0.0,,,0.0,32.0
2.0,60,10,3,1,32007,303014,32,62,62,1,32,28,0,62,d71ca0cb269d5e51,"(22, 1)",0.0,,,0.0,33.0
2.0,60,10,3,1,32007,303014,33,60,60,1,33,27,0,60,d71ca0cb269d5e51,"(20, 1)",0.0,,,0.0,34.0
2.0,60,10,3,1,32007,303014,34,58,58,1,34,26,0,58,d71ca0cb269d5e51,"(25, 2)",0.0,,,0.0,35.0
2.0,60,10,3,1,32007,303014,35,56,56,1,35,25,0,56,d71ca0cb269d5e51,"(45, 2)",0.0,,,0.0,36.0
2.0,60,10,3,1,32007,303014,36,54,54,1,36,24,0,54,d71ca0cb269d5e51,"(18, 2)",0.0,,,0.0,37.0
2.0,60,10,3,1,32007,303014,37,51,51,1,37,23,0,51,d71ca0cb269d5e51,"(4, 1)",0.0,,,0.0,38.0
2.0,60,10,3,1,32007,303014,38,49,49,1,38,22,0,49,d71ca0cb269d5e51,"(3, 0)",0.0,,,0.0,39.0
2.0,60,10,3,1,32007,303014,39,47,47,1,39,21,0,47,d71ca0cb269d5e51,"(42, 1)",0.0,,,0.0,40.0
2.0,60,10,3,1,32007,303014,40,44,44,1,40,20,0,44,d71ca0cb269d5e51,"(43, 2)",0.0,,,0.0,41.0
2.0,60,10,3,1,32007,303014,41,41,41,1,41,19,0,41,d71ca0cb269d5e51,"(54, 1)",0.0,,,0.0,42.0
2.0,60,10,3,1,32007,303014,42,38,38,1,42,18,0,38,d71ca0cb269d5e51,"(28, 2)",0.0,,,0.0,43.0
2.0,60,10,3,1,32007,303014,43,35,35,1,43,17,0,35,d71ca0cb269d5e51,"(44, 1)",0.0,,,0.0,44.0
2.0,60,10,3,1,32007,303014,44,32,32,1,44,16,0,32,d71ca0cb269d5e51,"(1, 2)",0.0,,,0.0,45.0
2.0,60,10,3,1,32007,303014,45,30,30,1,45,15,0,30,d71ca0cb269d5e51,"(58, 0)",1.0,,,1.0,46.0
2.0,60,10,3,1,32007,303014,46,27,26,1,46,14,1,27,d71ca0cb269d5e51,"(36, 0)",1.0,,,1.0,47.0
2.0,60,10,3,1,32007,303014,47,25,25,1,47,13,1,25,d71ca0cb269d5e51,"(2, 2)",0.0,,,0.0,48.0
2.0,60,10,3,1,32007,303014,48,24,24,1,48,12,0,24,d71ca0cb269d5e51,"(46, 2)",1.0,,,1.0,49.0
2.0,60,10,3,1,32007,303014,49,21,21,1,49,11,1,21,d71ca0cb269d5e51,"(31, 0)",0.0,,,0.0,50.0
2.0,60,10,3,1,32007,303014,50,20,20,1,50,10,0,20,d71ca0cb269d5e51,"(59, 2)",1.0,,,1.0,51.0
2.0,60,10,3,1,32007,303014,51,17,17,1,51,9,1,17,d71ca0cb269d5e51,"(13, 0)",0.0,,,0.0,52.0
2.0,60,10,3,1,32007,303014,52,16,16,1,52,8,0,16,d71ca0cb269d5e51,"(41, 0)",1.0,,,1.0,53.0
2.0,60,10,3,1,32007,303014,53,13,11,1,53,7,1,13,d71ca0cb269d5e51,"(14, 0)",1.0,,,1.0,54.0
2.0,60,10,3,1,32007,303014,54,11,10,1,54,6,1,11,d71ca0cb269d5e51,"(29, 0)",1.0,,,1.0,55.0
2.0,60,10,3,1,32007,303014,55,9,9,1,55,5,1,9,d71ca0cb269d5e51,"(23, 1)",0.0,,,0.0,56.0
2.0,60,10,3,1,32007,303014,56,8,8,1,56,4,0,8,d71ca0cb269d5e51,"(37, 1)",1.0,,,1.0,57.0
2.0,60,10,3,1,32007,303014,57,5,3,1,57,3,1,5,d71ca0cb269d5e51,"(53, 1)",1.0,,,1.0,58.0
2.0,60,10,3,1,32007,303014,58,3,2,1,58,2,1,3,d71ca0cb269d5e51,"(16, 0)",1.0,,,1.0,59.0
2.0,60,10,3,1,32007,303014,59,1,1,1,59,1,1,1,d71ca0cb269d5e51,"(47, 1)",0.0,,,0.0,60.0
