alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
2.0,60,15,5,0,52007,502014,0,180,180,1,0,60,0,180,557dff2ca8bb8b6d,"(27, 1)",0.0,,,0.0,1.0
2.0,60,15,5,0,52007,502014,1,172,172,1,1,59,0,172,557dff2ca8bb8b6d,"(26, 1)",0.0,,,0.0,2.0
2.0,60,15,5,0,52007,502014,2,166,166,1,2,58,0,166,557dff2ca8bb8b6d,"(39, 1)",0.0,,,0.0,3.0
2.0,60,15,5,0,52007,502014,3,162,162,1,3,57,0,162,557dff2ca8bb8b6d,"(30, 1)",0.0,,,0.0,4.0
2.0,60,15,5,0,52007,502014,4,158,158,1,4,56,0,158,557dff2ca8bb8b6d,"(43, 2)",0.0,,,0.0,5.0
2.0,60,15,5,0,52007,502014,5,154,154,1,5,55,0,154,557dff2ca8bb8b6d,"(6, 1)",0.0,,,0.0,6.0
2.0,60,15,5,0,52007,502014,6,149,149,1,6,54,0,149,557dff2ca8bb8b6d,"(23, 0)",0.0,,,0.0,7.0
2.0,60,15,5,0,52007,502014,7,146,146,1,7,53,0,146,557dff2ca8bb8b6d,"(57, 1)",0.0,,,0.0,8.0
2.0,60,15,5,0,52007,502014,8,142,142,1,8,52,0,142,557dff2ca8bb8b6d,"(5, 1)",0.0,,,0.0,9.0
2.0,60,15,5,0,52007,502014,9,137,137,1,9,51,0,137,557dff2ca8bb8b6d,"(38, 1)",0.0,,,0.0,10.0
2.0,60,15,5,0,52007,502014,10,133,133,1,10,50,0,133,557dff2ca8bb8b6d,"(17, 2)",0.0,,,0.0,11.0
2.0,60,15,5,0,52007,502014,11,130,130,1,11,49,0,130,557dff2ca8bb8b6d,"(28, 0)",0.0,,,0.0,12.0
2.0,60,15,5,0,52007,502014,12,125,125,1,12,48,0,125,557dff2ca8bb8b6d,"(9, 1)",0.0,,,0.0,13.0
2.0,60,15,5,0,52007,502014,13,119,119,1,13,47,0,119,557dff2ca8bb8b6d,"(13, 2)",0.0,,,0.0,14.0
2.0,60,15,5,0,52007,502014,14,116,116,1,14,46,0,116,557dff2ca8bb8b6d,"(59, 2)",0.0,,,0.0,15.0
2.0,60,15,5,0,52007,502014,15,112,112,1,15,45,0,112,557dff2ca8bb8b6d,"(24, 0)",0.0,,,0.0,16.0
2.0,60,15,5,0,52007,502014,16,106,106,1,16,44,0,106,557dff2ca8bb8b6d,"(21, 0)",0.0,,,0.0,17.0
2.0,60,15,5,0,52007,502014,17,102,102,1,17,43,0,102,557dff2ca8bb8b6d,"(19, 2)",0.0,,,0.0,18.0
2.0,60,15,5,0,52007,502014,18,98,98,1,18,42,0,98,557dff2ca8bb8b6d,"(8, 0)",0.0,,,0.0,19.0
2.0,60,15,5,0,52007,502014,19,95,95,1,19,41,0,95,557dff2ca8bb8b6d,"(29, 2)",0.0,,,0.0,20.0
2.0,60,15,5,0,52007,502014,20,91,91,1,20,40,0,91,557dff2ca8bb8b6d,"(41, 0)",0.0,,,0.0,21.0
2.0,60,15,5,0,52007,502014,21,87,87,1,21,39,0,87,557dff2ca8bb8b6d,"(53, 2)",0.0,,,0.0,22.0
2.0,60,15,5,0,52007,502014,22,84,84,1,22,38,0,84,557dff2ca8bb8b6d,"(3, 1)",0.0,,,0.0,23.0
2.0,60,15,5,0,52007,502014,23,82,82,1,23,37,0,82,557dff2ca8bb8b6d,"(34, 1)",0.0,,,0.0,24.0
2.0,60,15,5,0,52007,502014,24,80,80,1,24,36,0,80,557dff2ca8bb8b6d,"(10, 2)",0.0,,,0.0,25.0
2.0,60,15,5,0,52007,502014,25,78,78,1,25,35,0,78,557dff2ca8bb8b6d,"(54, 0)",0.0,,,0.0,26.0
2.0,60,15,5,0,52007,502014,26,76,76,1,26,34,0,76,557dff2ca8bb8b6d,"(56, 1)",0.0,,,0.0,27.0
2.0,60,15,5,0,52007,502014,27,73,73,1,27,33,0,73,557dff2ca8bb8b6d,"(42, 1)",0.0,,,0.0,28.0
2.0,60,15,5,0,52007,502014,28,70,70,1,28,32,0,70,557dff2ca8bb8b6d,"(40, 2)",0.0,,,0.0,29.0
2.0,60,15,5,0,52007,502014,29,68,68,1,29,31,0,68,557dff2ca8bb8b6d,"(48, 2)",0.0,,,0.0,30.0
2.0,60,15,5,0,52007,502014,30,66,66,1,30,30,0,66,557dff2ca8bb8b6d,"(52, 1)",0.0,,,0.0,31.0
2.0,60,15,5,0,52007,502014,31,63,63,1,31,29,0,63,557dff2ca8bb8b6d,"(2, 2)",0.0,,,0.0,32.0
2.0,60,15,5,0,52007,502014,32,61,61,1,32,28,0,61,557dff2ca8bb8b6d,"(14, 2)",0.0,,,0.0,33.0
2.0,60,15,5,0,52007,502014,33,59,59,1,33,27,0,59,557dff2ca8bb8b6d,"(46, 2)",0.0,,,0.0,34.0
2.0,60,15,5,0,52007,502014,34,56,56,1,34,26,0,56,557dff2ca8bb8b6d,"(20, 1)",0.0,,,0.0,35.0
2.0,60,15,5,0,52007,502014,35,54,54,1,35,25,0,54,557dff2ca8bb8b6d,"(47, 1)",0.0,,,0.0,36.0
2.0,60,15,5,0,52007,502014,36,52,52,1,36,24,0,52,557dff2ca8bb8b6d,"(11, 2)",0.0,,,0.0,37.0
2.0,60,15,5,0,52007,502014,37,50,50,1,37,23,0,50,557dff2ca8bb8b6d,"(55, 1)",0.0,,,0.0,38.0
2.0,60,15,5,0,52007,502014,38,48,48,1,38,22,0,48,557dff2ca8bb8b6d,"(22, 1)",0.0,,,0.0,39.0
2.0,60,15,5,0,52007,502014,39,45,45,1,39,21,0,45,557dff2ca8bb8b6d,"(49, 2)",0.0,,,0.0,40.0
2.0,60,15,5,0,52007,502014,40,43,43,1,40,20,0,43,557dff2ca8bb8b6d,"(51, 0)",0.0,,,0.0,41.0
2.0,60,15,5,0,52007,502014,41,41,41,1,41,19,0,41,557dff2ca8bb8b6d,"(16, 2)",0.0,,,0.0,42.0
2.0,60,15,5,0,52007,502014,42,39,39,1,42,18,0,39,557dff2ca8bb8b6d,"(37, 0)",0.0,,,0.0,43.0
2.0,60,15,5,0,52007,502014,43,36,36,1,43,17,0,36,557dff2ca8bb8b6d,"(35, 1)",0.0,,,0.0,44.0
2.0,60,15,5,0,52007,502014,44,34,34,1,44,16,0,34,557dff2ca8bb8b6d,"(44, 2)",0.0,,,0.0,45.0
2.0,60,15,5,0,52007,502014,45,32,32,1,45,15,0,32,557dff2ca8bb8b6d,"(33, 2)",0.0,,,0.0,46.0
2.0,60,15,5,0,52007,502014,46,30,30,1,46,14,0,30,557dff2ca8bb8b6d,"(0, 1)",0.0,,,0.0,47.0
2.0,60,15,5,0,52007,502014,47,28,28,1,47,13,0,28,557dff2ca8bb8b6d,"(45, 1)",0.0,,,0.0,48.0
2.0,60,15,5,0,52007,502014,48,25,25,1,48,12,0,25,557dff2ca8bb8b6d,"(1, 2)",0.0,,,0.0,49.0
2.0,60,15,5,0,52007,502014,49,23,23,1,49,11,0,23,557dff2ca8bb8b6d,"(4, 1)",0.0,,,0.0,50.0
2.0,60,15,5,0,52007,502014,50,21,21,1,50,10,0,21,557dff2ca8bb8b6d,"(50, 1)",0.0,,,0.0,51.0
2.0,60,15,5,0,52007,502014,51,19,19,1,51,9,0,19,557dff2ca8bb8b6d,"(31, 1)",0.0,,,0.0,52.0
2.0,60,15,5,0,52007,502014,52,16,16,1,52,8,0,16,557dff2ca8bb8b6d,"(32, 2)",0.0,,,0.0,53.0
2.0,60,15,5,0,52007,502014,53,14,14,1,53,7,0,14,557dff2ca8bb8b6d,"(18, 0)",0.0,,,0.0,54.0
2.0,60,15,5,0,52007,502014,54,12,12,1,54,6,0,12,557dff2ca8bb8b6d,"(58, 0)",1.0,,,1.0,55.0
2.0,60,15,5,0,52007,502014,55,9,9,1,55,5,1,9,557dff2ca8bb8b6d,"(7, 1)",0.0,,,0.0,56.0
2.0,60,15,5,0,52007,502014,56,8,8,1,56,4,0,8,557dff2ca8bb8b6d,"(36, 2)",1.0,,,1.0,57.0
2.0,60,15,5,0,52007,502014,57,5,3,1,57,3,1,5,557dff2ca8bb8b6d,"(12, 2)",2.0,,,2.0,58.0
2.0,60,15,5,0,52007,502014,58,2,0,1,58,2,2,2,557dff2ca8bb8b6d,,,no_legal_move,0,,
