alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
4.0,60,6,2,0,24007,204014,0,180,180,1,0,60,0,180,75b7ebbc56ed607b,"(50, 0)",0.0,,,0.0,1.0
4.0,60,6,2,0,24007,204014,1,173,173,1,1,59,0,173,75b7ebbc56ed607b,"(37, 2)",0.0,,,0.0,2.0
4.0,60,6,2,0,24007,204014,2,167,167,1,2,58,0,167,75b7ebbc56ed607b,"(19, 0)",0.0,,,0.0,3.0
4.0,60,6,2,0,24007,204014,3,161,161,1,3,57,0,161,75b7ebbc56ed607b,"(47, 2)",0.0,,,0.0,4.0
4.0,60,6,2,0,24007,204014,4,157,157,1,4,56,0,157,75b7ebbc56ed607b,"(25, 0)",0.0,,,0.0,5.0
4.0,60,6,2,0,24007,204014,5,153,153,1,5,55,0,153,75b7ebbc56ed607b,"(17, 1)",0.0,,,0.0,6.0
4.0,60,6,2,0,24007,204014,6,148,148,1,6,54,0,148,75b7ebbc56ed607b,"(53, 0)",0.0,,,0.0,7.0
4.0,60,6,2,0,24007,204014,7,144,144,1,7,53,0,144,75b7ebbc56ed607b,"(51, 2)",0.0,,,0.0,8.0
4.0,60,6,2,0,24007,204014,8,139,139,1,8,52,0,139,75b7ebbc56ed607b,"(56, 2)",0.0,,,0.0,9.0
4.0,60,6,2,0,24007,204014,9,133,133,1,9,51,0,133,75b7ebbc56ed607b,"(5, 1)",0.0,,,0.0,10.0
4.0,60,6,2,0,24007,204014,10,128,128,1,10,50,0,128,75b7ebbc56ed607b,"(7, 1)",0.0,,,0.0,11.0
4.0,60,6,2,0,24007,204014,11,122,122,1,11,49,0,122,75b7ebbc56ed607b,"(31, 2)",0.0,,,0.0,12.0
4.0,60,6,2,0,24007,204014,12,118,118,1,12,48,0,118,75b7ebbc56ed607b,"(28, 2)",0.0,,,0.0,13.0
4.0,60,6,2,0,24007,204014,13,112,112,1,13,47,0,112,75b7ebbc56ed607b,"(27, 2)",0.0,,,0.0,14.0
4.0,60,6,2,0,24007,204014,14,109,109,1,14,46,0,109,75b7ebbc56ed607b,"(30, 2)",0.0,,,0.0,15.0
4.0,60,6,2,0,24007,204014,15,107,107,1,15,45,0,107,75b7ebbc56ed607b,"(18, 2)",0.0,,,0.0,16.0
4.0,60,6,2,0,24007,204014,16,103,103,1,16,44,0,103,75b7ebbc56ed607b,"(39, 1)",0.0,,,0.0,17.0
4.0,60,6,2,0,24007,204014,17,97,97,1,17,43,0,97,75b7ebbc56ed607b,"(9, 2)",0.0,,,0.0,18.0
4.0,60,6,2,0,24007,204014,18,95,95,1,18,42,0,95,75b7ebbc56ed607b,"(43, 2)",0.0,,,0.0,19.0
4.0,60,6,2,0,24007,204014,19,92,92,1,19,41,0,92,75b7ebbc56ed607b,"(26, 0)",0.0,,,0.0,20.0
4.0,60,6,2,0,24007,204014,20,89,89,1,20,40,0,89,75b7ebbc56ed607b,"(57, 2)",0.0,,,0.0,21.0
4.0,60,6,2,0,24007,204014,21,86,86,1,21,39,0,86,75b7ebbc56ed607b,"(32, 2)",0.0,,,0.0,22.0
4.0,60,6,2,0,24007,204014,22,83,83,1,22,38,0,83,75b7ebbc56ed607b,"(48, 2)",0.0,,,0.0,23.0
4.0,60,6,2,0,24007,204014,23,79,79,1,23,37,0,79,75b7ebbc56ed607b,"(49, 0)",0.0,,,0.0,24.0
4.0,60,6,2,0,24007,204014,24,77,77,1,24,36,0,77,75b7ebbc56ed607b,"(45, 2)",0.0,,,0.0,25.0
4.0,60,6,2,0,24007,204014,25,75,75,1,25,35,0,75,75b7ebbc56ed607b,"(1, 0)",0.0,,,0.0,26.0
4.0,60,6,2,0,24007,204014,26,73,73,1,26,34,0,73,75b7ebbc56ed607b,"(20, 1)",0.0,,,0.0,27.0
4.0,60,6,2,0,24007,204014,27,70,70,1,27,33,0,70,75b7ebbc56ed607b,"(21, 2)",0.0,,,0.0,28.0
4.0,60,6,2,0,24007,204014,28,68,68,1,28,32,0,68,75b7ebbc56ed607b,"(15, 2)",0.0,,,0.0,29.0
4.0,60,6,2,0,24007,204014,29,65,65,1,29,31,0,65,75b7ebbc56ed607b,"(13, 2)",0.0,,,0.0,30.0
4.0,60,6,2,0,24007,204014,30,62,62,1,30,30,0,62,75b7ebbc56ed607b,"(42, 2)",1.0,,,1.0,31.0
