alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
5.0,60,16,5,1,55007,506014,0,180,180,1,0,60,0,180,a466109d006df074,"(30, 1)",0.0,,,0.0,1.0
5.0,60,16,5,1,55007,506014,1,173,173,1,1,59,0,173,a466109d006df074,"(0, 2)",0.0,,,0.0,2.0
5.0,60,16,5,1,55007,506014,2,167,167,1,2,58,0,167,a466109d006df074,"(10, 2)",0.0,,,0.0,3.0
5.0,60,16,5,1,55007,506014,3,162,162,1,3,57,0,162,a466109d006df074,"(3, 1)",0.0,,,0.0,4.0
5.0,60,16,5,1,55007,506014,4,155,155,1,4,56,0,155,a466109d006df074,"(45, 0)",0.0,,,0.0,5.0
5.0,60,16,5,1,55007,506014,5,149,149,1,5,55,0,149,a466109d006df074,"(49, 0)",0.0,,,0.0,6.0
5.0,60,16,5,1,55007,506014,6,137,137,1,6,54,0,137,a466109d006df074,"(22, 0)",0.0,,,0.0,7.0
5.0,60,16,5,1,55007,506014,7,133,133,1,7,53,0,133,a466109d006df074,"(12, 2)",0.0,,,0.0,8.0
5.0,60,16,5,1,55007,506014,8,128,128,1,8,52,0,128,a466109d006df074,"(39, 2)",0.0,,,0.0,9.0
5.0,60,16,5,1,55007,506014,9,124,124,1,9,51,0,124,a466109d006df074,"(4, 2)",0.0,,,0.0,10.0
5.0,60,16,5,1,55007,506014,10,120,120,1,10,50,0,120,a466109d006df074,"(46, 1)",0.0,,,0.0,11.0
5.0,60,16,5,1,55007,506014,11,113,113,1,11,49,0,113,a466109d006df074,"(48, 2)",0.0,,,0.0,12.0
5.0,60,16,5,1,55007,506014,12,109,109,1,12,48,0,109,a466109d006df074,"(43, 0)",0.0,,,0.0,13.0
5.0,60,16,5,1,55007,506014,13,106,106,1,13,47,0,106,a466109d006df074,"(34, 1)",0.0,,,0.0,14.0
5.0,60,16,5,1,55007,506014,14,103,103,1,14,46,0,103,a466109d006df074,"(31, 2)",0.0,,,0.0,15.0
5.0,60,16,5,1,55007,506014,15,98,98,1,15,45,0,98,a466109d006df074,"(13, 1)",1.0,,,1.0,16.0
5.0,60,16,5,1,55007,506014,16,93,89,1,16,44,1,93,a466109d006df074,"(2, 1)",1.0,,,1.0,17.0
5.0,60,16,5,1,55007,506014,17,90,87,1,17,43,1,90,a466109d006df074,"(16, 2)",2.0,,,2.0,18.0
5.0,60,16,5,1,55007,506014,18,84,79,1,18,42,2,84,a466109d006df074,"(56, 2)",3.0,,,3.0,19.0
5.0,60,16,5,1,55007,506014,19,80,71,1,19,41,3,80,a466109d006df074,"(54, 2)",4.0,,,4.0,20.0
5.0,60,16,5,1,55007,506014,20,77,65,1,20,40,4,77,a466109d006df074,"(47, 0)",5.0,,,5.0,21.0
5.0,60,16,5,1,55007,506014,21,74,60,1,21,39,5,74,a466109d006df074,"(6, 1)",6.0,,,6.0,22.0
5.0,60,16,5,1,55007,506014,22,70,53,1,22,38,6,70,a466109d006df074,"(11, 2)",7.0,,,7.0,23.0
5.0,60,16,5,1,55007,506014,23,67,49,1,23,37,7,67,a466109d006df074,"(20, 0)",7.0,,,7.0,24.0
5.0,60,16,5,1,55007,506014,24,65,48,1,24,36,7,65,a466109d006df074,"(19, 2)",8.0,,,8.0,25.0
5.0,60,16,5,1,55007,506014,25,62,41,1,25,35,8,62,a466109d006df074,"(17, 0)",9.0,,,9.0,26.0
5.0,60,16,5,1,55007,506014,26,59,35,1,26,34,9,59,a466109d006df074,"(38, 0)",10.0,,,10.0,27.0
5.0,60,16,5,1,55007,506014,27,56,32,1,27,33,10,56,a466109d006df074,"(25, 1)",11.0,,,11.0,28.0
5.0,60,16,5,1,55007,506014,28,53,27,1,28,32,11,53,a466109d006df074,"(5, 1)",12.0,,,12.0,29.0
5.0,60,16,5,1,55007,506014,29,50,23,1,29,31,12,50,a466109d006df074,"(18, 0)",13.0,,,13.0,30.0
5.0,60,16,5,1,55007,506014,30,47,19,1,30,30,13,47,a466109d006df074,"(41, 1)",14.0,,,14.0,31.0
5.0,60,16,5,1,55007,506014,31,44,17,1,31,29,14,44,a466109d006df074,"(1, 0)",14.0,,,14.0,32.0
5.0,60,16,5,1,55007,506014,32,42,15,1,32,28,14,42,a466109d006df074,"(44, 1)",15.0,,,15.0,33.0
5.0,60,16,5,1,55007,506014,33,39,12,1,33,27,15,39,a466109d006df074,"(28, 2)",15.0,,,15.0,34.0
5.0,60,16,5,1,55007,506014,34,37,10,1,34,26,15,37,a466109d006df074,"(52, 0)",15.0,,,15.0,35.0
5.0,60,16,5,1,55007,506014,35,35,8,1,35,25,15,35,a466109d006df074,"(50, 0)",16.0,,,16.0,36.0
5.0,60,16,5,1,55007,506014,36,32,6,1,36,24,16,32,a466109d006df074,"(8, 0)",16.0,,,16.0,37.0
5.0,60,16,5,1,55007,506014,37,30,5,1,37,23,16,30,a466109d006df074,"(55, 2)",17.0,,,17.0,38.0
5.0,60,16,5,1,55007,506014,38,27,3,1,38,22,17,27,a466109d006df074,"(21, 0)",18.0,,,18.0,39.0
5.0,60,16,5,1,55007,506014,39,24,1,1,39,21,18,24,a466109d006df074,"(58, 0)",18.0,,,18.0,40.0
5.0,60,16,5,1,55007,506014,40,22,0,1,40,20,18,22,a466109d006df074,,,no_legal_move,0,,
