alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
3.0,60,7,2,1,23007,204014,0,180,180,1,0,60,0,180,e5495964ac03c19c,"(50, 0)",0.0,,,0.0,1.0
3.0,60,7,2,1,23007,204014,1,176,176,1,1,59,0,176,e5495964ac03c19c,"(35, 0)",0.0,,,0.0,2.0
3.0,60,7,2,1,23007,204014,2,172,172,1,2,58,0,172,e5495964ac03c19c,"(28, 1)",0.0,,,0.0,3.0
3.0,60,7,2,1,23007,204014,3,167,167,1,3,57,0,167,e5495964ac03c19c,"(58, 0)",0.0,,,0.0,4.0
3.0,60,7,2,1,23007,204014,4,161,161,1,4,56,0,161,e5495964ac03c19c,"(46, 2)",0.0,,,0.0,5.0
3.0,60,7,2,1,23007,204014,5,155,155,1,5,55,0,155,e5495964ac03c19c,"(19, 0)",0.0,,,0.0,6.0
3.0,60,7,2,1,23007,204014,6,151,151,1,6,54,0,151,e5495964ac03c19c,"(18, 2)",0.0,,,0.0,7.0
3.0,60,7,2,1,23007,204014,7,146,146,1,7,53,0,146,e5495964ac03c19c,"(49, 0)",0.0,,,0.0,8.0
3.0,60,7,2,1,23007,204014,8,141,141,1,8,52,0,141,e5495964ac03c19c,"(53, 2)",0.0,,,0.0,9.0
3.0,60,7,2,1,23007,204014,9,137,137,1,9,51,0,137,e5495964ac03c19c,"(56, 2)",0.0,,,0.0,10.0
3.0,60,7,2,1,23007,204014,10,134,134,1,10,50,0,134,e5495964ac03c19c,"(12, 1)",0.0,,,0.0,11.0
3.0,60,7,2,1,23007,204014,11,130,130,1,11,49,0,130,e5495964ac03c19c,"(4, 0)",0.0,,,0.0,12.0
3.0,60,7,2,1,23007,204014,12,126,126,1,12,48,0,126,e5495964ac03c19c,"(16, 2)",0.0,,,0.0,13.0
3.0,60,7,2,1,23007,204014,13,123,123,1,13,47,0,123,e5495964ac03c19c,"(15, 1)",0.0,,,0.0,14.0
3.0,60,7,2,1,23007,204014,14,119,119,1,14,46,0,119,e5495964ac03c19c,"(26, 2)",0.0,,,0.0,15.0
3.0,60,7,2,1,23007,204014,15,116,116,1,15,45,0,116,e5495964ac03c19c,"(29, 2)",0.0,,,0.0,16.0
3.0,60,7,2,1,23007,204014,16,112,112,1,16,44,0,112,e5495964ac03c19c,"(11, 2)",0.0,,,0.0,17.0
3.0,60,7,2,1,23007,204014,17,107,107,1,17,43,0,107,e5495964ac03c19c,"(34, 0)",0.0,,,0.0,18.0
3.0,60,7,2,1,23007,204014,18,103,103,1,18,42,0,103,e5495964ac03c19c,"(2, 0)",0.0,,,0.0,19.0
3.0,60,7,2,1,23007,204014,19,98,98,1,19,41,0,98,e5495964ac03c19c,"(31, 0)",0.0,,,0.0,20.0
3.0,60,7,2,1,23007,204014,20,92,92,1,20,40,0,92,e5495964ac03c19c,"(32, 2)",0.0,,,0.0,21.0
3.0,60,7,2,1,23007,204014,21,87,87,1,21,39,0,87,e5495964ac03c19c,"(38, 1)",0.0,,,0.0,22.0
3.0,60,7,2,1,23007,204014,22,83,83,1,22,38,0,83,e5495964ac03c19c,"(33, 2)",0.0,,,0.0,23.0
3.0,60,7,2,1,23007,204014,23,81,81,1,23,37,0,81,e5495964ac03c19c,"(52, 0)",0.0,,,0.0,24.0
3.0,60,7,2,1,23007,204014,24,78,78,1,24,36,0,78,e5495964ac03c19c,"(36, 1)",0.0,,,0.0,25.0
3.0,60,7,2,1,23007,204014,25,76,76,1,25,35,0,76,e5495964ac03c19c,"(48, 2)",0.0,,,0.0,26.0
3.0,60,7,2,1,23007,204014,26,74,74,1,26,34,0,74,e5495964ac03c19c,"(3, 0)",0.0,,,0.0,27.0
3.0,60,7,2,1,23007,204014,27,72,72,1,27,33,0,72,e5495964ac03c19c,"(37, 1)",0.0,,,0.0,28.0
3.0,60,7,2,1,23007,204014,28,69,69,1,28,32,0,69,e5495964ac03c19c,"(30, 2)",0.0,,,0.0,29.0
3.0,60,7,2,1,23007,204014,29,66,66,1,29,31,0,66,e5495964ac03c19c,"(57, 1)",0.0,,,0.0,30.0
3.0,60,7,2,1,23007,204014,30,63,63,1,30,30,0,63,e5495964ac03c19c,"(20, 1)",0.0,,,0.0,31.0
3.0,60,7,2,1,23007,204014,31,61,61,1,31,29,0,61,e5495964ac03c19c,"(44, 0)",0.0,,,0.0,32.0
3.0,60,7,2,1,23007,204014,32,59,59,1,32,28,0,59,e5495964ac03c19c,"(40, 1)",0.0,,,0.0,33.0
3.0,60,7,2,1,23007,204014,33,57,57,1,33,27,0,57,e5495964ac03c19c,"(24, 2)",0.0,,,0.0,34.0
3.0,60,7,2,1,23007,204014,34,55,55,1,34,26,0,55,e5495964ac03c19c,"(0, 0)",0.0,,,0.0,35.0
3.0,60,7,2,1,23007,204014,35,53,53,1,35,25,0,53,e5495964ac03c19c,"(42, 1)",1.0,,,1.0,36.0
3.0,60,7,2,1,23007,204014,36,50,49,1,36,24,1,50,e5495964ac03c19c,"(9, 2)",1.0,,,1.0,37.0
3.0,60,7,2,1,23007,204014,37,48,48,1,37,23,1,48,e5495964ac03c19c,"(54, 1)",0.0,,,0.0,38.0
3.0,60,7,2,1,23007,204014,38,47,47,1,38,22,0,47,e5495964ac03c19c,"(10, 0)",1.0,,,1.0,39.0
3.0,60,7,2,1,23007,204014,39,43,41,1,39,21,1,43,e5495964ac03c19c,"(5, 0)",1.0,,,1.0,40.0
3.0,60,7,2,1,23007,204014,40,41,40,1,40,20,1,41,e5495964ac03c19c,"(8, 2)",1.0,,,1.0,41.0
3.0,60,7,2,1,23007,204014,41,39,36,1,41,19,1,39,e5495964ac03c19c,"(47, 2)",1.0,,,1.0,42.0
3.0,60,7,2,1,23007,204014,42,37,35,1,42,18,1,37,e5495964ac03c19c,"(23, 0)",2.0,,,2.0,43.0
3.0,60,7,2,1,23007,204014,43,34,30,1,43,17,2,34,e5495964ac03c19c,"(41, 0)",2.0,,,2.0,44.0
3.0,60,7,2,1,23007,204014,44,31,28,1,44,16,2,31,e5495964ac03c19c,"(6, 2)",2.0,,,2.0,45.0
3.0,60,7,2,1,23007,204014,45,29,23,1,45,15,2,29,e5495964ac03c19c,"(17, 0)",2.0,,,2.0,46.0
3.0,60,7,2,1,23007,204014,46,27,22,1,46,14,2,27,e5495964ac03c19c,"(1, 2)",2.0,,,2.0,47.0
3.0,60,7,2,1,23007,204014,47,25,21,1,47,13,2,25,e5495964ac03c19c,"(22, 2)",3.0,,,3.0,48.0
3.0,60,7,2,1,23007,204014,48,22,19,1,48,12,3,22,e5495964ac03c19c,"(55, 1)",3.0,,,3.0,49.0
3.0,60,7,2,1,23007,204014,49,20,17,1,49,11,3,20,e5495964ac03c19c,"(14, 0)",3.0,,,3.0,50.0
3.0,60,7,2,1,23007,204014,50,18,15,1,50,10,3,18,e5495964ac03c19c,"(39, 1)",3.0,,,3.0,51.0
3.0,60,7,2,1,23007,204014,51,16,13,1,51,9,3,16,e5495964ac03c19c,"(27, 1)",3.0,,,3.0,52.0
3.0,60,7,2,1,23007,204014,52,14,12,1,52,8,3,14,e5495964ac03c19c,"(7, 2)",2.0,,,2.0,53.0
3.0,60,7,2,1,23007,204014,53,13,11,1,53,7,2,13,e5495964ac03c19c,"(43, 1)",3.0,,,3.0,54.0
3.0,60,7,2,1,23007,204014,54,9,6,1,54,6,3,9,e5495964ac03c19c,"(59, 2)",3.0,,,3.0,55.0
3.0,60,7,2,1,23007,204014,55,7,4,1,55,5,3,7,e5495964ac03c19c,"(45, 0)",3.0,,,3.0,56.0
3.0,60,7,2,1,23007,204014,56,5,2,1,56,4,3,5,e5495964ac03c19c,"(25, 1)",3.0,,,3.0,57.0
3.0,60,7,2,1,23007,204014,57,3,1,1,57,3,3,3,e5495964ac03c19c,"(51, 0)",2.0,,,2.0,58.0
3.0,60,7,2,1,23007,204014,58,2,0,1,58,2,2,2,e5495964ac03c19c,,,no_legal_move,0,,
