alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
4.0,60,3,1,0,14007,104014,0,180,180,1,0,60,0,180,d47cffbc0fcc2ab3,"(10, 2)",0.0,,,0.0,1.0
4.0,60,3,1,0,14007,104014,1,172,172,1,1,59,0,172,d47cffbc0fcc2ab3,"(49, 1)",0.0,,,0.0,2.0
4.0,60,3,1,0,14007,104014,2,167,167,1,2,58,0,167,d47cffbc0fcc2ab3,"(54, 2)",0.0,,,0.0,3.0
4.0,60,3,1,0,14007,104014,3,159,159,1,3,57,0,159,d47cffbc0fcc2ab3,"(25, 2)",0.0,,,0.0,4.0
4.0,60,3,1,0,14007,104014,4,153,153,1,4,56,0,153,d47cffbc0fcc2ab3,"(14, 1)",0.0,,,0.0,5.0
4.0,60,3,1,0,14007,104014,5,148,148,1,5,55,0,148,d47cffbc0fcc2ab3,"(27, 2)",0.0,,,0.0,6.0
4.0,60,3,1,0,14007,104014,6,142,142,1,6,54,0,142,d47cffbc0fcc2ab3,"(51, 1)",0.0,,,0.0,7.0
4.0,60,3,1,0,14007,104014,7,139,139,1,7,53,0,139,d47cffbc0fcc2ab3,"(34, 2)",0.0,,,0.0,8.0
4.0,60,3,1,0,14007,104014,8,132,132,1,8,52,0,132,d47cffbc0fcc2ab3,"(7, 0)",0.0,,,0.0,9.0
4.0,60,3,1,0,14007,104014,9,128,128,1,9,51,0,128,d47cffbc0fcc2ab3,"(47, 2)",0.0,,,0.0,10.0
4.0,60,3,1,0,14007,104014,10,123,123,1,10,50,0,123,d47cffbc0fcc2ab3,"(57, 0)",0.0,,,0.0,11.0
4.0,60,3,1,0,14007,104014,11,120,120,1,11,49,0,120,d47cffbc0fcc2ab3,"(39, 2)",0.0,,,0.0,12.0
4.0,60,3,1,0,14007,104014,12,114,114,1,12,48,0,114,d47cffbc0fcc2ab3,"(52, 2)",0.0,,,0.0,13.0
4.0,60,3,1,0,14007,104014,13,111,111,1,13,47,0,111,d47cffbc0fcc2ab3,"(16, 1)",0.0,,,0.0,14.0
4.0,60,3,1,0,14007,104014,14,108,108,1,14,46,0,108,d47cffbc0fcc2ab3,"(2, 0)",0.0,,,0.0,15.0
4.0,60,3,1,0,14007,104014,15,105,105,1,15,45,0,105,d47cffbc0fcc2ab3,"(1, 2)",0.0,,,0.0,16.0
4.0,60,3,1,0,14007,104014,16,100,100,1,16,44,0,100,d47cffbc0fcc2ab3,"(42, 2)",0.0,,,0.0,17.0
4.0,60,3,1,0,14007,104014,17,95,95,1,17,43,0,95,d47cffbc0fcc2ab3,"(19, 2)",0.0,,,0.0,18.0
4.0,60,3,1,0,14007,104014,18,90,90,1,18,42,0,90,d47cffbc0fcc2ab3,"(12, 0)",0.0,,,0.0,19.0
4.0,60,3,1,0,14007,104014,19,88,88,1,19,41,0,88,d47cffbc0fcc2ab3,"(15, 1)",0.0,,,0.0,20.0
4.0,60,3,1,0,14007,104014,20,86,86,1,20,40,0,86,d47cffbc0fcc2ab3,"(13, 2)",0.0,,,0.0,21.0
4.0,60,3,1,0,14007,104014,21,82,82,1,21,39,0,82,d47cffbc0fcc2ab3,"(33, 2)",0.0,,,0.0,22.0
4.0,60,3,1,0,14007,104014,22,80,80,1,22,38,0,80,d47cffbc0fcc2ab3,"(40, 1)",1.0,,,1.0,23.0
4.0,60,3,1,0,14007,104014,23,77,75,1,23,37,1,77,d47cffbc0fcc2ab3,"(56, 1)",1.0,,,1.0,24.0
4.0,60,3,1,0,14007,104014,24,75,74,1,24,36,1,75,d47cffbc0fcc2ab3,"(24, 0)",1.0,,,1.0,25.0
4.0,60,3,1,0,14007,104014,25,73,70,1,25,35,1,73,d47cffbc0fcc2ab3,"(17, 0)",1.0,,,1.0,26.0
4.0,60,3,1,0,14007,104014,26,71,69,1,26,34,1,71,d47cffbc0fcc2ab3,"(8, 1)",2.0,,,2.0,27.0
4.0,60,3,1,0,14007,104014,27,68,64,1,27,33,2,68,d47cffbc0fcc2ab3,"(20, 0)",3.0,,,3.0,28.0
4.0,60,3,1,0,14007,104014,28,65,58,1,28,32,3,65,d47cffbc0fcc2ab3,"(50, 0)",3.0,,,3.0,29.0
4.0,60,3,1,0,14007,104014,29,62,56,1,29,31,3,62,d47cffbc0fcc2ab3,"(6, 0)",3.0,,,3.0,30.0
4.0,60,3,1,0,14007,104014,30,60,55,1,30,30,3,60,d47cffbc0fcc2ab3,"(11, 1)",3.0,,,3.0,31.0
4.0,60,3,1,0,14007,104014,31,58,53,1,31,29,3,58,d47cffbc0fcc2ab3,"(26, 0)",3.0,,,3.0,32.0
4.0,60,3,1,0,14007,104014,32,56,49,1,32,28,3,56,d47cffbc0fcc2ab3,"(46, 0)",3.0,,,3.0,33.0
4.0,60,3,1,0,14007,104014,33,54,48,1,33,27,3,54,d47cffbc0fcc2ab3,"(23, 1)",3.0,,,3.0,34.0
