alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
1.0,60,15,5,0,51007,501014,0,180,180,1,0,60,0,180,acfdeac9d87c2319,"(45, 1)",0.0,,,0.0,1.0
1.0,60,15,5,0,51007,501014,1,176,176,1,1,59,0,176,acfdeac9d87c2319,"(58, 2)",0.0,,,0.0,2.0
1.0,60,15,5,0,51007,501014,2,172,172,1,2,58,0,172,acfdeac9d87c2319,"(1, 1)",0.0,,,0.0,3.0
1.0,60,15,5,0,51007,501014,3,168,168,1,3,57,0,168,acfdeac9d87c2319,"(12, 2)",0.0,,,0.0,4.0
1.0,60,15,5,0,51007,501014,4,163,163,1,4,56,0,163,acfdeac9d87c2319,"(15, 2)",0.0,,,0.0,5.0
1.0,60,15,5,0,51007,501014,5,160,160,1,5,55,0,160,acfdeac9d87c2319,"(41, 2)",0.0,,,0.0,6.0
1.0,60,15,5,0,51007,501014,6,157,157,1,6,54,0,157,acfdeac9d87c2319,"(4, 1)",0.0,,,0.0,7.0
1.0,60,15,5,0,51007,501014,7,154,154,1,7,53,0,154,acfdeac9d87c2319,"(50, 2)",0.0,,,0.0,8.0
1.0,60,15,5,0,51007,501014,8,151,151,1,8,52,0,151,acfdeac9d87c2319,"(38, 1)",0.0,,,0.0,9.0
1.0,60,15,5,0,51007,501014,9,146,146,1,9,51,0,146,acfdeac9d87c2319,"(26, 1)",0.0,,,0.0,10.0
1.0,60,15,5,0,51007,501014,10,142,142,1,10,50,0,142,acfdeac9d87c2319,"(7, 1)",0.0,,,0.0,11.0
1.0,60,15,5,0,51007,501014,11,139,139,1,11,49,0,139,acfdeac9d87c2319,"(19, 0)",0.0,,,0.0,12.0
1.0,60,15,5,0,51007,501014,12,136,136,1,12,48,0,136,acfdeac9d87c2319,"(42, 0)",0.0,,,0.0,13.0
1.0,60,15,5,0,51007,501014,13,131,131,1,13,47,0,131,acfdeac9d87c2319,"(17, 2)",0.0,,,0.0,14.0
1.0,60,15,5,0,51007,501014,14,128,128,1,14,46,0,128,acfdeac9d87c2319,"(54, 2)",0.0,,,0.0,15.0
1.0,60,15,5,0,51007,501014,15,124,124,1,15,45,0,124,acfdeac9d87c2319,"(44, 0)",0.0,,,0.0,16.0
1.0,60,15,5,0,51007,501014,16,122,122,1,16,44,0,122,acfdeac9d87c2319,"(30, 0)",0.0,,,0.0,17.0
1.0,60,15,5,0,51007,501014,17,116,116,1,17,43,0,116,acfdeac9d87c2319,"(43, 1)",0.0,,,0.0,18.0
1.0,60,15,5,0,51007,501014,18,113,113,1,18,42,0,113,acfdeac9d87c2319,"(55, 2)",0.0,,,0.0,19.0
1.0,60,15,5,0,51007,501014,19,110,110,1,19,41,0,110,acfdeac9d87c2319,"(6, 2)",0.0,,,0.0,20.0
1.0,60,15,5,0,51007,501014,20,106,106,1,20,40,0,106,acfdeac9d87c2319,"(11, 0)",0.0,,,0.0,21.0
1.0,60,15,5,0,51007,501014,21,102,102,1,21,39,0,102,acfdeac9d87c2319,"(36, 0)",0.0,,,0.0,22.0
1.0,60,15,5,0,51007,501014,22,99,99,1,22,38,0,99,acfdeac9d87c2319,"(46, 2)",0.0,,,0.0,23.0
