alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
6.0,60,2,0,2,6007,8014,0,180,180,1,0,60,0,180,39e332bc88df2369,"(39, 0)",0.0,,,0.0,1.0
6.0,60,2,0,2,6007,8014,1,172,172,1,1,59,0,172,39e332bc88df2369,"(59, 2)",0.0,,,0.0,2.0
6.0,60,2,0,2,6007,8014,2,161,161,1,2,58,0,161,39e332bc88df2369,"(12, 2)",0.0,,,0.0,3.0
6.0,60,2,0,2,6007,8014,3,157,157,1,3,57,0,157,39e332bc88df2369,"(6, 2)",0.0,,,0.0,4.0
6.0,60,2,0,2,6007,8014,4,147,147,1,4,56,0,147,39e332bc88df2369,"(57, 1)",0.0,,,0.0,5.0
6.0,60,2,0,2,6007,8014,5,139,139,1,5,55,0,139,39e332bc88df2369,"(54, 2)",0.0,,,0.0,6.0
6.0,60,2,0,2,6007,8014,6,132,132,1,6,54,0,132,39e332bc88df2369,"(37, 2)",0.0,,,0.0,7.0
6.0,60,2,0,2,6007,8014,7,127,127,1,7,53,0,127,39e332bc88df2369,"(49, 1)",0.0,,,0.0,8.0
6.0,60,2,0,2,6007,8014,8,123,123,1,8,52,0,123,39e332bc88df2369,"(46, 2)",0.0,,,0.0,9.0
6.0,60,2,0,2,6007,8014,9,121,121,1,9,51,0,121,39e332bc88df2369,"(58, 2)",0.0,,,0.0,10.0
6.0,60,2,0,2,6007,8014,10,112,112,1,10,50,0,112,39e332bc88df2369,"(45, 2)",0.0,,,0.0,11.0
6.0,60,2,0,2,6007,8014,11,107,107,1,11,49,0,107,39e332bc88df2369,"(4, 2)",0.0,,,0.0,12.0
6.0,60,2,0,2,6007,8014,12,104,104,1,12,48,0,104,39e332bc88df2369,"(40, 2)",0.0,,,0.0,13.0
6.0,60,2,0,2,6007,8014,13,99,99,1,13,47,0,99,39e332bc88df2369,"(43, 2)",0.0,,,0.0,14.0
6.0,60,2,0,2,6007,8014,14,97,97,1,14,46,0,97,39e332bc88df2369,"(28, 2)",0.0,,,0.0,15.0
6.0,60,2,0,2,6007,8014,15,95,95,1,15,45,0,95,39e332bc88df2369,"(10, 1)",1.0,,,1.0,16.0
6.0,60,2,0,2,6007,8014,16,92,89,1,16,44,1,92,39e332bc88df2369,"(21, 2)",1.0,,,1.0,17.0
6.0,60,2,0,2,6007,8014,17,88,84,1,17,43,1,88,39e332bc88df2369,"(26, 2)",2.0,,,2.0,18.0
6.0,60,2,0,2,6007,8014,18,84,76,1,18,42,2,84,39e332bc88df2369,"(44, 2)",2.0,,,2.0,19.0
6.0,60,2,0,2,6007,8014,19,81,74,1,19,41,2,81,39e332bc88df2369,"(30, 2)",3.0,,,3.0,20.0
6.0,60,2,0,2,6007,8014,20,78,67,1,20,40,3,78,39e332bc88df2369,"(52, 2)",4.0,,,4.0,21.0
6.0,60,2,0,2,6007,8014,21,74,62,1,21,39,4,74,39e332bc88df2369,"(15, 2)",4.0,,,4.0,22.0
6.0,60,2,0,2,6007,8014,22,72,60,1,22,38,4,72,39e332bc88df2369,"(31, 1)",5.0,,,5.0,23.0
6.0,60,2,0,2,6007,8014,23,69,55,1,23,37,5,69,39e332bc88df2369,"(16, 1)",6.0,,,6.0,24.0
6.0,60,2,0,2,6007,8014,24,66,50,1,24,36,6,66,39e332bc88df2369,"(41, 0)",7.0,,,7.0,25.0
6.0,60,2,0,2,6007,8014,25,63,44,1,25,35,7,63,39e332bc88df2369,"(0, 1)",8.0,,,8.0,26.0
6.0,60,2,0,2,6007,8014,26,60,39,1,26,34,8,60,39e332bc88df2369,"(11, 1)",8.0,,,8.0,27.0
6.0,60,2,0,2,6007,8014,27,58,38,1,27,33,8,58,39e332bc88df2369,"(53, 1)",9.0,,,9.0,28.0
6.0,60,2,0,2,6007,8014,28,55,35,1,28,32,9,55,39e332bc88df2369,"(1, 0)",10.0,,,10.0,29.0
6.0,60,2,0,2,6007,8014,29,52,33,1,29,31,10,52,39e332bc88df2369,"(55, 1)",10.0,,,10.0,30.0
6.0,60,2,0,2,6007,8014,30,50,30,1,30,30,10,50,39e332bc88df2369,"(32, 1)",11.0,,,11.0,31.0
6.0,60,2,0,2,6007,8014,31,47,24,1,31,29,11,47,39e332bc88df2369,"(8, 1)",11.0,,,11.0,32.0
6.0,60,2,0,2,6007,8014,32,45,23,1,32,28,11,45,39e332bc88df2369,"(18, 1)",12.0,,,12.0,33.0
6.0,60,2,0,2,6007,8014,33,42,20,1,33,27,12,42,39e332bc88df2369,"(34, 1)",13.0,,,13.0,34.0
6.0,60,2,0,2,6007,8014,34,39,18,1,34,26,13,39,39e332bc88df2369,"(24, 0)",13.0,,,13.0,35.0
6.0,60,2,0,2,6007,8014,35,37,16,1,35,25,13,37,39e332bc88df2369,"(29, 0)",14.0,,,14.0,36.0
6.0,60,2,0,2,6007,8014,36,34,12,1,36,24,14,34,39e332bc88df2369,"(48, 0)",14.0,,,14.0,37.0
6.0,60,2,0,2,6007,8014,37,32,10,1,37,23,14,32,39e332bc88df2369,"(19, 1)",14.0,,,14.0,38.0
6.0,60,2,0,2,6007,8014,38,30,9,1,38,22,14,30,39e332bc88df2369,"(17, 0)",14.0,,,14.0,39.0
6.0,60,2,0,2,6007,8014,39,28,7,1,39,21,14,28,39e332bc88df2369,"(42, 0)",13.0,,,13.0,40.0
6.0,60,2,0,2,6007,8014,40,27,6,1,40,20,13,27,39e332bc88df2369,"(35, 1)",14.0,,,14.0,41.0
6.0,60,2,0,2,6007,8014,41,24,3,1,41,19,14,24,39e332bc88df2369,"(13, 1)",15.0,,,15.0,42.0
6.0,60,2,0,2,6007,8014,42,21,2,1,42,18,15,21,39e332bc88df2369,"(33, 1)",16.0,,,16.0,43.0
6.0,60,2,0,2,6007,8014,43,18,1,1,43,17,16,18,39e332bc88df2369,"(9, 0)",16.0,,,16.0,44.0
6.0,60,2,0,2,6007,8014,44,16,0,1,44,16,16,16,39e332bc88df2369,,,no_legal_move,0,,
