alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
1.0,60,12,4,0,41007,401014,0,180,180,1,0,60,0,180,5bda84090f23568b,"(24, 0)",0.0,,,0.0,1.0
1.0,60,12,4,0,41007,401014,1,175,175,1,1,59,0,175,5bda84090f23568b,"(0, 0)",0.0,,,0.0,2.0
1.0,60,12,4,0,41007,401014,2,170,170,1,2,58,0,170,5bda84090f23568b,"(44, 2)",0.0,,,0.0,3.0
1.0,60,12,4,0,41007,401014,3,163,163,1,3,57,0,163,5bda84090f23568b,"(22, 1)",0.0,,,0.0,4.0
1.0,60,12,4,0,41007,401014,4,158,158,1,4,56,0,158,5bda84090f23568b,"(36, 2)",0.0,,,0.0,5.0
1.0,60,12,4,0,41007,401014,5,154,154,1,5,55,0,154,5bda84090f23568b,"(29, 2)",0.0,,,0.0,6.0
1.0,60,12,4,0,41007,401014,6,151,151,1,6,54,0,151,5bda84090f23568b,"(33, 1)",0.0,,,0.0,7.0
1.0,60,12,4,0,41007,401014,7,148,148,1,7,53,0,148,5bda84090f23568b,"(48, 2)",0.0,,,0.0,8.0
1.0,60,12,4,0,41007,401014,8,144,144,1,8,52,0,144,5bda84090f23568b,"(25, 0)",0.0,,,0.0,9.0
1.0,60,12,4,0,41007,401014,9,140,140,1,9,51,0,140,5bda84090f23568b,"(2, 2)",0.0,,,0.0,10.0
1.0,60,12,4,0,41007,401014,10,137,137,1,10,50,0,137,5bda84090f23568b,"(14, 2)",0.0,,,0.0,11.0
1.0,60,12,4,0,41007,401014,11,133,133,1,11,49,0,133,5bda84090f23568b,"(28, 0)",0.0,,,0.0,12.0
1.0,60,12,4,0,41007,401014,12,129,129,1,12,48,0,129,5bda84090f23568b,"(56, 0)",0.0,,,0.0,13.0
1.0,60,12,4,0,41007,401014,13,126,126,1,13,47,0,126,5bda84090f23568b,"(59, 0)",0.0,,,0.0,14.0
1.0,60,12,4,0,41007,401014,14,121,121,1,14,46,0,121,5bda84090f23568b,"(3, 1)",0.0,,,0.0,15.0
1.0,60,12,4,0,41007,401014,15,118,118,1,15,45,0,118,5bda84090f23568b,"(5, 0)",0.0,,,0.0,16.0
1.0,60,12,4,0,41007,401014,16,114,114,1,16,44,0,114,5bda84090f23568b,"(37, 0)",0.0,,,0.0,17.0
1.0,60,12,4,0,41007,401014,17,112,112,1,17,43,0,112,5bda84090f23568b,"(41, 0)",0.0,,,0.0,18.0
1.0,60,12,4,0,41007,401014,18,108,108,1,18,42,0,108,5bda84090f23568b,"(50, 0)",0.0,,,0.0,19.0
1.0,60,12,4,0,41007,401014,19,105,105,1,19,41,0,105,5bda84090f23568b,"(20, 2)",0.0,,,0.0,20.0
1.0,60,12,4,0,41007,401014,20,102,102,1,20,40,0,102,5bda84090f23568b,"(13, 2)",0.0,,,0.0,21.0
1.0,60,12,4,0,41007,401014,21,99,99,1,21,39,0,99,5bda84090f23568b,"(18, 0)",0.0,,,0.0,22.0
1.0,60,12,4,0,41007,401014,22,96,96,1,22,38,0,96,5bda84090f23568b,"(47, 0)",0.0,,,0.0,23.0
1.0,60,12,4,0,41007,401014,23,93,93,1,23,37,0,93,5bda84090f23568b,"(55, 1)",0.0,,,0.0,24.0
1.0,60,12,4,0,41007,401014,24,91,91,1,24,36,0,91,5bda84090f23568b,"(7, 1)",0.0,,,0.0,25.0
1.0,60,12,4,0,41007,401014,25,88,88,1,25,35,0,88,5bda84090f23568b,"(52, 0)",0.0,,,0.0,26.0
1.0,60,12,4,0,41007,401014,26,85,85,1,26,34,0,85,5bda84090f23568b,"(53, 0)",0.0,,,0.0,27.0
1.0,60,12,4,0,41007,401014,27,82,82,1,27,33,0,82,5bda84090f23568b,"(4, 0)",0.0,,,0.0,28.0
