alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
3.0,60,3,1,0,13007,103014,0,180,180,1,0,60,0,180,9d16d4d7a64c9708,"(55, 2)",0.0,,,0.0,1.0
3.0,60,3,1,0,13007,103014,1,177,177,1,1,59,0,177,9d16d4d7a64c9708,"(28, 2)",0.0,,,0.0,2.0
3.0,60,3,1,0,13007,103014,2,167,167,1,2,58,0,167,9d16d4d7a64c9708,"(46, 2)",0.0,,,0.0,3.0
3.0,60,3,1,0,13007,103014,3,164,164,1,3,57,0,164,9d16d4d7a64c9708,"(0, 1)",0.0,,,0.0,4.0
3.0,60,3,1,0,13007,103014,4,157,157,1,4,56,0,157,9d16d4d7a64c9708,"(14, 2)",0.0,,,0.0,5.0
3.0,60,3,1,0,13007,103014,5,152,152,1,5,55,0,152,9d16d4d7a64c9708,"(48, 1)",0.0,,,0.0,6.0
3.0,60,3,1,0,13007,103014,6,148,148,1,6,54,0,148,9d16d4d7a64c9708,"(57, 2)",0.0,,,0.0,7.0
3.0,60,3,1,0,13007,103014,7,142,142,1,7,53,0,142,9d16d4d7a64c9708,"(31, 0)",0.0,,,0.0,8.0
3.0,60,3,1,0,13007,103014,8,140,140,1,8,52,0,140,9d16d4d7a64c9708,"(32, 2)",0.0,,,0.0,9.0
3.0,60,3,1,0,13007,103014,9,134,134,1,9,51,0,134,9d16d4d7a64c9708,"(2, 1)",0.0,,,0.0,10.0
3.0,60,3,1,0,13007,103014,10,130,130,1,10,50,0,130,9d16d4d7a64c9708,"(5, 0)",0.0,,,0.0,11.0
3.0,60,3,1,0,13007,103014,11,126,126,1,11,49,0,126,9d16d4d7a64c9708,"(1, 0)",0.0,,,0.0,12.0
3.0,60,3,1,0,13007,103014,12,122,122,1,12,48,0,122,9d16d4d7a64c9708,"(41, 0)",0.0,,,0.0,13.0
3.0,60,3,1,0,13007,103014,13,118,118,1,13,47,0,118,9d16d4d7a64c9708,"(6, 2)",0.0,,,0.0,14.0
3.0,60,3,1,0,13007,103014,14,114,114,1,14,46,0,114,9d16d4d7a64c9708,"(35, 1)",0.0,,,0.0,15.0
3.0,60,3,1,0,13007,103014,15,112,112,1,15,45,0,112,9d16d4d7a64c9708,"(27, 0)",0.0,,,0.0,16.0
