alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
3.0,60,13,4,1,43007,404014,0,180,180,1,0,60,0,180,3d0679198e6c3462,"(46, 0)",0.0,,,0.0,1.0
3.0,60,13,4,1,43007,404014,1,174,174,1,1,59,0,174,3d0679198e6c3462,"(37, 0)",0.0,,,0.0,2.0
3.0,60,13,4,1,43007,404014,2,168,168,1,2,58,0,168,3d0679198e6c3462,"(13, 2)",0.0,,,0.0,3.0
3.0,60,13,4,1,43007,404014,3,162,162,1,3,57,0,162,3d0679198e6c3462,"(36, 0)",0.0,,,0.0,4.0
3.0,60,13,4,1,43007,404014,4,157,157,1,4,56,0,157,3d0679198e6c3462,"(41, 2)",0.0,,,0.0,5.0
3.0,60,13,4,1,43007,404014,5,152,152,1,5,55,0,152,3d0679198e6c3462,"(17, 1)",0.0,,,0.0,6.0
3.0,60,13,4,1,43007,404014,6,147,147,1,6,54,0,147,3d0679198e6c3462,"(19, 2)",0.0,,,0.0,7.0
3.0,60,13,4,1,43007,404014,7,141,141,1,7,53,0,141,3d0679198e6c3462,"(45, 2)",0.0,,,0.0,8.0
3.0,60,13,4,1,43007,404014,8,137,137,1,8,52,0,137,3d0679198e6c3462,"(2, 2)",0.0,,,0.0,9.0
3.0,60,13,4,1,43007,404014,9,132,132,1,9,51,0,132,3d0679198e6c3462,"(49, 2)",0.0,,,0.0,10.0
3.0,60,13,4,1,43007,404014,10,129,129,1,10,50,0,129,3d0679198e6c3462,"(28, 0)",0.0,,,0.0,11.0
3.0,60,13,4,1,43007,404014,11,126,126,1,11,49,0,126,3d0679198e6c3462,"(59, 1)",0.0,,,0.0,12.0
3.0,60,13,4,1,43007,404014,12,120,120,1,12,48,0,120,3d0679198e6c3462,"(7, 1)",0.0,,,0.0,13.0
3.0,60,13,4,1,43007,404014,13,116,116,1,13,47,0,116,3d0679198e6c3462,"(50, 1)",0.0,,,0.0,14.0
3.0,60,13,4,1,43007,404014,14,111,111,1,14,46,0,111,3d0679198e6c3462,"(32, 1)",0.0,,,0.0,15.0
3.0,60,13,4,1,43007,404014,15,109,109,1,15,45,0,109,3d0679198e6c3462,"(11, 0)",0.0,,,0.0,16.0
3.0,60,13,4,1,43007,404014,16,107,107,1,16,44,0,107,3d0679198e6c3462,"(31, 2)",0.0,,,0.0,17.0
3.0,60,13,4,1,43007,404014,17,103,103,1,17,43,0,103,3d0679198e6c3462,"(8, 2)",0.0,,,0.0,18.0
3.0,60,13,4,1,43007,404014,18,101,101,1,18,42,0,101,3d0679198e6c3462,"(57, 0)",0.0,,,0.0,19.0
