alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
3.0,60,8,2,2,23007,205014,0,180,180,1,0,60,0,180,e5495964ac03c19c,"(37, 2)",0.0,,,0.0,1.0
3.0,60,8,2,2,23007,205014,1,173,173,1,1,59,0,173,e5495964ac03c19c,"(42, 2)",0.0,,,0.0,2.0
3.0,60,8,2,2,23007,205014,2,167,167,1,2,58,0,167,e5495964ac03c19c,"(32, 2)",0.0,,,0.0,3.0
3.0,60,8,2,2,23007,205014,3,160,160,1,3,57,0,160,e5495964ac03c19c,"(22, 1)",0.0,,,0.0,4.0
3.0,60,8,2,2,23007,205014,4,153,153,1,4,56,0,153,e5495964ac03c19c,"(15, 1)",0.0,,,0.0,5.0
3.0,60,8,2,2,23007,205014,5,149,149,1,5,55,0,149,e5495964ac03c19c,"(20, 1)",0.0,,,0.0,6.0
3.0,60,8,2,2,23007,205014,6,145,145,1,6,54,0,145,e5495964ac03c19c,"(49, 0)",0.0,,,0.0,7.0
3.0,60,8,2,2,23007,205014,7,140,140,1,7,53,0,140,e5495964ac03c19c,"(35, 2)",0.0,,,0.0,8.0
3.0,60,8,2,2,23007,205014,8,137,137,1,8,52,0,137,e5495964ac03c19c,"(3, 1)",0.0,,,0.0,9.0
3.0,60,8,2,2,23007,205014,9,134,134,1,9,51,0,134,e5495964ac03c19c,"(2, 0)",0.0,,,0.0,10.0
3.0,60,8,2,2,23007,205014,10,129,129,1,10,50,0,129,e5495964ac03c19c,"(5, 0)",0.0,,,0.0,11.0
3.0,60,8,2,2,23007,205014,11,125,125,1,11,49,0,125,e5495964ac03c19c,"(56, 1)",0.0,,,0.0,12.0
3.0,60,8,2,2,23007,205014,12,122,122,1,12,48,0,122,e5495964ac03c19c,"(1, 1)",0.0,,,0.0,13.0
3.0,60,8,2,2,23007,205014,13,119,119,1,13,47,0,119,e5495964ac03c19c,"(18, 2)",0.0,,,0.0,14.0
3.0,60,8,2,2,23007,205014,14,115,115,1,14,46,0,115,e5495964ac03c19c,"(53, 2)",0.0,,,0.0,15.0
