alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
5.0,60,8,2,2,25007,207014,0,180,180,1,0,60,0,180,a39f229b9f2c6efe,"(35, 2)",0.0,,,0.0,1.0
5.0,60,8,2,2,25007,207014,1,172,172,1,1,59,0,172,a39f229b9f2c6efe,"(0, 1)",0.0,,,0.0,2.0
5.0,60,8,2,2,25007,207014,2,162,162,1,2,58,0,162,a39f229b9f2c6efe,"(20, 0)",0.0,,,0.0,3.0
5.0,60,8,2,2,25007,207014,3,158,158,1,3,57,0,158,a39f229b9f2c6efe,"(18, 1)",0.0,,,0.0,4.0
5.0,60,8,2,2,25007,207014,4,153,153,1,4,56,0,153,a39f229b9f2c6efe,"(45, 1)",0.0,,,0.0,5.0
5.0,60,8,2,2,25007,207014,5,149,149,1,5,55,0,149,a39f229b9f2c6efe,"(58, 1)",0.0,,,0.0,6.0
5.0,60,8,2,2,25007,207014,6,142,142,1,6,54,0,142,a39f229b9f2c6efe,"(22, 1)",0.0,,,0.0,7.0
5.0,60,8,2,2,25007,207014,7,137,137,1,7,53,0,137,a39f229b9f2c6efe,"(42, 1)",0.0,,,0.0,8.0
5.0,60,8,2,2,25007,207014,8,131,131,1,8,52,0,131,a39f229b9f2c6efe,"(43, 1)",0.0,,,0.0,9.0
5.0,60,8,2,2,25007,207014,9,127,127,1,9,51,0,127,a39f229b9f2c6efe,"(57, 1)",0.0,,,0.0,10.0
5.0,60,8,2,2,25007,207014,10,123,123,1,10,50,0,123,a39f229b9f2c6efe,"(50, 2)",0.0,,,0.0,11.0
5.0,60,8,2,2,25007,207014,11,118,118,1,11,49,0,118,a39f229b9f2c6efe,"(19, 0)",0.0,,,0.0,12.0
5.0,60,8,2,2,25007,207014,12,115,115,1,12,48,0,115,a39f229b9f2c6efe,"(37, 1)",0.0,,,0.0,13.0
5.0,60,8,2,2,25007,207014,13,111,111,1,13,47,0,111,a39f229b9f2c6efe,"(1, 2)",0.0,,,0.0,14.0
5.0,60,8,2,2,25007,207014,14,108,108,1,14,46,0,108,a39f229b9f2c6efe,"(3, 1)",0.0,,,0.0,15.0
5.0,60,8,2,2,25007,207014,15,102,102,1,15,45,0,102,a39f229b9f2c6efe,"(31, 1)",0.0,,,0.0,16.0
5.0,60,8,2,2,25007,207014,16,100,100,1,16,44,0,100,a39f229b9f2c6efe,"(10, 1)",0.0,,,0.0,17.0
5.0,60,8,2,2,25007,207014,17,97,97,1,17,43,0,97,a39f229b9f2c6efe,"(48, 0)",0.0,,,0.0,18.0
5.0,60,8,2,2,25007,207014,18,94,94,1,18,42,0,94,a39f229b9f2c6efe,"(28, 1)",0.0,,,0.0,19.0
5.0,60,8,2,2,25007,207014,19,90,90,1,19,41,0,90,a39f229b9f2c6efe,"(4, 1)",0.0,,,0.0,20.0
5.0,60,8,2,2,25007,207014,20,87,87,1,20,40,0,87,a39f229b9f2c6efe,"(14, 1)",0.0,,,0.0,21.0
5.0,60,8,2,2,25007,207014,21,83,83,1,21,39,0,83,a39f229b9f2c6efe,"(2, 1)",0.0,,,0.0,22.0
5.0,60,8,2,2,25007,207014,22,81,81,1,22,38,0,81,a39f229b9f2c6efe,"(41, 1)",0.0,,,0.0,23.0
5.0,60,8,2,2,25007,207014,23,79,79,1,23,37,0,79,a39f229b9f2c6efe,"(13, 1)",0.0,,,0.0,24.0
5.0,60,8,2,2,25007,207014,24,76,76,1,24,36,0,76,a39f229b9f2c6efe,"(33, 1)",0.0,,,0.0,25.0
5.0,60,8,2,2,25007,207014,25,74,74,1,25,35,0,74,a39f229b9f2c6efe,"(23, 1)",0.0,,,0.0,26.0
5.0,60,8,2,2,25007,207014,26,71,71,1,26,34,0,71,a39f229b9f2c6efe,"(27, 1)",0.0,,,0.0,27.0
5.0,60,8,2,2,25007,207014,27,68,68,1,27,33,0,68,a39f229b9f2c6efe,"(9, 0)",0.0,,,0.0,28.0
5.0,60,8,2,2,25007,207014,28,65,65,1,28,32,0,65,a39f229b9f2c6efe,"(7, 1)",0.0,,,0.0,29.0
5.0,60,8,2,2,25007,207014,29,62,62,1,29,31,0,62,a39f229b9f2c6efe,"(30, 1)",0.0,,,0.0,30.0
5.0,60,8,2,2,25007,207014,30,60,60,1,30,30,0,60,a39f229b9f2c6efe,"(40, 2)",1.0,,,1.0,31.0
5.0,60,8,2,2,25007,207014,31,57,55,1,31,29,1,57,a39f229b9f2c6efe,"(59, 2)",2.0,,,2.0,32.0
5.0,60,8,2,2,25007,207014,32,54,46,1,32,28,2,54,a39f229b9f2c6efe,"(6, 2)",3.0,,,3.0,33.0
5.0,60,8,2,2,25007,207014,33,51,43,1,33,27,3,51,a39f229b9f2c6efe,"(38, 2)",3.0,,,3.0,34.0
5.0,60,8,2,2,25007,207014,34,49,42,1,34,26,3,49,a39f229b9f2c6efe,"(46, 2)",4.0,,,4.0,35.0
5.0,60,8,2,2,25007,207014,35,46,35,1,35,25,4,46,a39f229b9f2c6efe,"(56, 2)",5.0,,,5.0,36.0
5.0,60,8,2,2,25007,207014,36,43,31,1,36,24,5,43,a39f229b9f2c6efe,"(53, 0)",5.0,,,5.0,37.0
5.0,60,8,2,2,25007,207014,37,41,29,1,37,23,5,41,a39f229b9f2c6efe,"(15, 2)",5.0,,,5.0,38.0
5.0,60,8,2,2,25007,207014,38,39,27,1,38,22,5,39,a39f229b9f2c6efe,"(8, 2)",6.0,,,6.0,39.0
5.0,60,8,2,2,25007,207014,39,36,25,1,39,21,6,36,a39f229b9f2c6efe,"(25, 0)",7.0,,,7.0,40.0
5.0,60,8,2,2,25007,207014,40,33,17,1,40,20,7,33,a39f229b9f2c6efe,"(5, 0)",8.0,,,8.0,41.0
5.0,60,8,2,2,25007,207014,41,30,13,1,41,19,8,30,a39f229b9f2c6efe,"(52, 2)",8.0,,,8.0,42.0
5.0,60,8,2,2,25007,207014,42,28,8,1,42,18,8,28,a39f229b9f2c6efe,"(49, 2)",9.0,,,9.0,43.0
5.0,60,8,2,2,25007,207014,43,25,7,1,43,17,9,25,a39f229b9f2c6efe,"(24, 2)",10.0,,,10.0,44.0
5.0,60,8,2,2,25007,207014,44,22,5,1,44,16,10,22,a39f229b9f2c6efe,"(55, 2)",11.0,,,11.0,45.0
5.0,60,8,2,2,25007,207014,45,19,3,1,45,15,11,19,a39f229b9f2c6efe,"(16, 0)",11.0,,,11.0,46.0
5.0,60,8,2,2,25007,207014,46,17,2,1,46,14,11,17,a39f229b9f2c6efe,"(32, 0)",11.0,,,11.0,47.0
5.0,60,8,2,2,25007,207014,47,15,1,1,47,13,11,15,a39f229b9f2c6efe,"(34, 2)",11.0,,,11.0,48.0
5.0,60,8,2,2,25007,207014,48,13,0,1,48,12,11,13,a39f229b9f2c6efe,,,no_legal_move,0,,
