alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
5.0,60,7,2,1,25007,206014,0,180,180,1,0,60,0,180,a39f229b9f2c6efe,"(25, 2)",0.0,,,0.0,1.0
5.0,60,7,2,1,25007,206014,1,170,170,1,1,59,0,170,a39f229b9f2c6efe,"(45, 2)",0.0,,,0.0,2.0
5.0,60,7,2,1,25007,206014,2,165,165,1,2,58,0,165,a39f229b9f2c6efe,"(47, 2)",0.0,,,0.0,3.0
5.0,60,7,2,1,25007,206014,3,157,157,1,3,57,0,157,a39f229b9f2c6efe,"(13, 0)",0.0,,,0.0,4.0
5.0,60,7,2,1,25007,206014,4,152,152,1,4,56,0,152,a39f229b9f2c6efe,"(37, 2)",0.0,,,0.0,5.0
5.0,60,7,2,1,25007,206014,5,147,147,1,5,55,0,147,a39f229b9f2c6efe,"(0, 2)",0.0,,,0.0,6.0
5.0,60,7,2,1,25007,206014,6,138,138,1,6,54,0,138,a39f229b9f2c6efe,"(7, 2)",0.0,,,0.0,7.0
5.0,60,7,2,1,25007,206014,7,134,134,1,7,53,0,134,a39f229b9f2c6efe,"(50, 1)",0.0,,,0.0,8.0
5.0,60,7,2,1,25007,206014,8,129,129,1,8,52,0,129,a39f229b9f2c6efe,"(20, 0)",0.0,,,0.0,9.0
5.0,60,7,2,1,25007,206014,9,125,125,1,9,51,0,125,a39f229b9f2c6efe,"(24, 2)",0.0,,,0.0,10.0
5.0,60,7,2,1,25007,206014,10,119,119,1,10,50,0,119,a39f229b9f2c6efe,"(43, 2)",0.0,,,0.0,11.0
5.0,60,7,2,1,25007,206014,11,116,116,1,11,49,0,116,a39f229b9f2c6efe,"(29, 2)",0.0,,,0.0,12.0
5.0,60,7,2,1,25007,206014,12,113,113,1,12,48,0,113,a39f229b9f2c6efe,"(19, 1)",0.0,,,0.0,13.0
5.0,60,7,2,1,25007,206014,13,110,110,1,13,47,0,110,a39f229b9f2c6efe,"(14, 2)",0.0,,,0.0,14.0
5.0,60,7,2,1,25007,206014,14,106,106,1,14,46,0,106,a39f229b9f2c6efe,"(4, 2)",0.0,,,0.0,15.0
5.0,60,7,2,1,25007,206014,15,102,102,1,15,45,0,102,a39f229b9f2c6efe,"(10, 2)",0.0,,,0.0,16.0
5.0,60,7,2,1,25007,206014,16,98,98,1,16,44,0,98,a39f229b9f2c6efe,"(48, 0)",0.0,,,0.0,17.0
5.0,60,7,2,1,25007,206014,17,95,95,1,17,43,0,95,a39f229b9f2c6efe,"(40, 2)",0.0,,,0.0,18.0
5.0,60,7,2,1,25007,206014,18,92,92,1,18,42,0,92,a39f229b9f2c6efe,"(57, 2)",0.0,,,0.0,19.0
5.0,60,7,2,1,25007,206014,19,89,89,1,19,41,0,89,a39f229b9f2c6efe,"(46, 2)",0.0,,,0.0,20.0
5.0,60,7,2,1,25007,206014,20,86,86,1,20,40,0,86,a39f229b9f2c6efe,"(28, 2)",0.0,,,0.0,21.0
5.0,60,7,2,1,25007,206014,21,83,83,1,21,39,0,83,a39f229b9f2c6efe,"(27, 2)",0.0,,,0.0,22.0
5.0,60,7,2,1,25007,206014,22,79,79,1,22,38,0,79,a39f229b9f2c6efe,"(5, 2)",0.0,,,0.0,23.0
5.0,60,7,2,1,25007,206014,23,75,75,1,23,37,0,75,a39f229b9f2c6efe,"(41, 2)",0.0,,,0.0,24.0
