level,alpha_e,alpha_r,gap,forfeiture
0.06868013,5.0,2.1163143881616393,2.8836856118383607,0.640819024852969
0.0779055994,4.964039893612875,2.084810224018213,2.879229669594662,0.6449829612217958
0.0871310688,4.928079787225749,2.05868601060291,2.869393776622839,0.6479995651615286
0.09635653820000001,4.898621711271061,2.0349946665301615,2.8636270447408996,0.6510282612853749
0.1055820076,4.869772658305749,2.0113033224574126,2.858469335848336,0.6541460069816593
0.11480747699999999,4.842623766259553,1.990495012301763,2.85212875395779,0.6567754674300104
0.1240329464,4.819178624675893,1.9723172966859457,2.8468613279899477,0.6591209985448503
0.1332584158,4.795733483092233,1.9541395810701285,2.8415939020221046,0.6614921324161425
0.1424838852,4.772761023706092,1.9359618654543114,2.8367991582517806,0.6639264734237834
0.15170935459999998,4.753402717201388,1.919316987300715,2.834085729900673,0.6663102269717401
0.16093482399999998,4.734044410696685,1.9050006993545248,2.82904371134216,0.6681658095496119
0.1701602934,4.714686104191982,1.8906844114083345,2.8240016927836473,0.6700384377320195
0.1793857628,4.696067474419601,1.8763681234621443,2.8196993509574564,0.6719861794756951
0.18861123219999998,4.679773865875367,1.862051835515954,2.8177220303594126,0.6741326494631544
0.1978367016,4.663480257331133,1.8481566649874108,2.8153235923437223,0.676194774164342
0.207062171,4.6471866487868985,1.8365027594033707,2.8106838893835278,0.677732672149127
0.21628764039999998,4.630893040242665,1.8248488538193306,2.806044186423334,0.6792827020906105
0.22551310979999997,4.616044460920577,1.8131949482352905,2.8028495126852864,0.6809570545937235
0.23473857919999996,4.602014646026644,1.8015410426512506,2.8004736033753934,0.6827068757757925
0.24396404859999998,4.587984831132712,1.7898871370672105,2.7980976940655014,0.6844687076028596
0.253189518,4.573955016238779,1.7782332314831704,2.7957217847556084,0.6862426741610709
0.26241498739999997,4.559925201344847,1.7678624167814507,2.7920627845633965,0.6877128631922893
0.2716404568,4.546371173067184,1.757984262143141,2.7883869109240433,0.689108040676956
0.28086592619999995,4.5339676253176355,1.7481061075048312,2.7858615178128043,0.6906008616252702
0.29009139559999997,4.521564077568087,1.7382279528665214,2.7833361247015653,0.6921028910683675
0.299316865,4.509160529818539,1.7283497982282114,2.7808107315903277,0.6936142144740189
0.30854233439999995,4.49675698206899,1.7184716435899017,2.7782853384790887,0.6951349183709592
0.31776780379999997,4.484353434319441,1.708593488951592,2.7757599453678496,0.696665090365401
0.3269932732,4.47222188993184,1.698858067119715,2.7733638228121253,0.6981895522608164
0.33621874259999995,4.460924467172482,1.6900774250471133,2.770847042125369,0.699545539201697
0.345444212,4.449627044413124,1.6812967829745114,2.7683302614386127,0.7009092834105706
0.35466968139999994,4.438329621653765,1.6725161409019094,2.7658134807518557,0.7022808516445224
0.36389515079999996,4.427032198894407,1.6637354988293074,2.7632967000650996,0.7036603114288346
0.3731206202,4.415734776135049,1.6549548567567054,2.7607799193783435,0.7050477310680675
0.38234608959999994,4.40443735337569,1.6461742146841034,2.7582631386915866,0.7064431796573335
0.39157155899999996,4.393544232974783,1.6373935726115014,2.7561506603632813,0.7078770640439086
0.4007970283999999,4.3829126306919495,1.6286129305388994,2.75429970015305,0.7093385718705247
0.41002249779999994,4.372281028409116,1.6201548398346464,2.7521261885744694,0.7107248075187224
0.41924796719999996,4.361649426126282,1.6119222562395794,2.749727169886702,0.7120602795487375
0.4284734365999999,4.351017823843448,1.6036896726445122,2.747328151198936,0.7134031253215567
0.43769890599999994,4.340386221560615,1.5954570890494453,2.7449291325111695,0.7147534060768802
0.44692437539999996,4.329754619277781,1.587224505454378,2.7425301138234035,0.7161111837344274
0.4561498447999999,4.319274243331527,1.578991921859311,2.7402823214722165,0.7174877075812934
0.46537531419999995,4.3089162130947285,1.570759338264244,2.7381568748304845,0.7188808368682239
0.47460078359999996,4.29855818285793,1.5625267546691768,2.7360314281887526,0.7202815638143625
0.48382625299999993,4.2882001526211315,1.5542941710741098,2.7339059815470215,0.7216899507422746
0.49305172239999995,4.277842122384333,1.5460916894205106,2.731750432963822,0.7230980926327635
0.5022771918,4.2674840921475345,1.5379220288301287,2.729562063317406,0.7245052657306659
0.5115026612,4.257126061910736,1.529752368239747,2.7273736936709887,0.7259201977066341
0.5207281306,4.246737163892518,1.521582707649365,2.7251544562431524,0.7273407066034934
0.5299535999999999,4.236280206506372,1.5134130470589835,2.7228671594473886,0.7287641742462939
0.5391790693999999,4.225823249120224,1.5052433864686017,2.7205798626516224,0.7301956321449309
0.5484045387999998,4.215366291734078,1.4970737258782199,2.718292565855858,0.7316351477655102
0.5576300081999999,4.204909334347931,1.488904065287838,2.7160052690600933,0.7330827893358188
0.5668554775999999,4.1944523769617845,1.4807344046974562,2.7137179722643285,0.7345386258561046
0.5760809469999999,4.183995419575637,1.4724410890344695,2.7115543305411673,0.7360362925895044
