alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
1.0,100,3,1,0,11001,101008,0,200,200,1,0,100,0.0,0,8fbd96dd52db2149,"(53, 0)",0.0,,,0.0,0.0,0.0,0.0
1.0,100,3,1,0,11001,101008,1,198,198,1,1,99,0.0,0,8fbd96dd52db2149,"(60, 1)",0.0,,,0.0,0.0,0.0,1.0
1.0,100,3,1,0,11001,101008,2,196,196,1,2,98,0.0,0,8fbd96dd52db2149,"(29, 0)",0.0,,,0.0,0.0,2.0,5.0
1.0,100,3,1,0,11001,101008,3,194,194,1,3,97,0.02,0,8fbd96dd52db2149,"(43, 0)",0.0,,,0.0,0.0,2.0,4.0
1.0,100,3,1,0,11001,101008,4,192,192,1,4,96,0.02,0,8fbd96dd52db2149,"(33, 0)",0.0,,,0.0,0.0,4.0,4.0
1.0,100,3,1,0,11001,101008,5,190,190,1,5,95,0.04,0,8fbd96dd52db2149,"(28, 1)",0.0,,,0.0,0.0,8.0,7.0
1.0,100,3,1,0,11001,101008,6,188,188,1,6,94,0.08,0,8fbd96dd52db2149,"(63, 0)",0.0,,,0.0,0.0,9.0,1.0
1.0,100,3,1,0,11001,101008,7,186,186,1,7,93,0.09,0,8fbd96dd52db2149,"(15, 1)",0.0,,,0.0,0.0,10.0,1.0
1.0,100,3,1,0,11001,101008,8,184,184,1,8,92,0.1,0,8fbd96dd52db2149,"(2, 1)",0.0,,,0.0,0.0,10.0,1.0
1.0,100,3,1,0,11001,101008,9,182,182,1,9,91,0.1,0,8fbd96dd52db2149,"(56, 0)",0.0,,,0.0,0.0,12.0,2.0
1.0,100,3,1,0,11001,101008,10,180,180,1,10,90,0.12,0,8fbd96dd52db2149,"(70, 0)",0.0,,,0.0,0.0,14.0,5.0
1.0,100,3,1,0,11001,101008,11,178,178,1,11,89,0.14,0,8fbd96dd52db2149,"(95, 0)",0.0,,,0.0,0.0,17.0,3.0
