alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
4.0,100,13,4,1,44001,405008,0,200,200,1,0,100,0.0,0,f50452a7729fe18b,"(17, 0)",0.0,,,0.0,0.0,4.0,12.0
4.0,100,13,4,1,44001,405008,1,198,198,1,1,99,0.01,0,f50452a7729fe18b,"(5, 1)",0.0,,,0.0,0.0,9.0,11.0
4.0,100,13,4,1,44001,405008,2,196,196,1,2,98,0.0225,0,f50452a7729fe18b,"(66, 1)",0.0,,,0.0,0.0,15.0,16.0
4.0,100,13,4,1,44001,405008,3,194,194,1,3,97,0.0375,0,f50452a7729fe18b,"(11, 1)",0.0,,,0.0,0.0,20.0,12.0
4.0,100,13,4,1,44001,405008,4,192,192,1,4,96,0.05,0,f50452a7729fe18b,"(90, 1)",0.0,,,0.0,0.0,29.0,16.0
4.0,100,13,4,1,44001,405008,5,190,190,1,5,95,0.0725,0,f50452a7729fe18b,"(89, 1)",0.0,,,0.0,0.0,36.0,10.0
4.0,100,13,4,1,44001,405008,6,188,188,1,6,94,0.09,0,f50452a7729fe18b,"(31, 0)",0.0,,,0.0,0.0,43.0,13.0
4.0,100,13,4,1,44001,405008,7,186,186,1,7,93,0.1075,0,f50452a7729fe18b,"(69, 0)",0.0,,,0.0,0.0,46.0,8.0
4.0,100,13,4,1,44001,405008,8,184,184,1,8,92,0.115,0,f50452a7729fe18b,"(42, 0)",0.0,,,0.0,0.0,51.0,9.0
4.0,100,13,4,1,44001,405008,9,182,182,1,9,91,0.1275,0,f50452a7729fe18b,"(50, 0)",0.0,,,0.0,0.0,54.0,11.0
4.0,100,13,4,1,44001,405008,10,180,180,1,10,90,0.135,0,f50452a7729fe18b,"(29, 0)",0.0,,,0.0,0.0,57.0,5.0
4.0,100,13,4,1,44001,405008,11,178,178,1,11,89,0.1425,0,f50452a7729fe18b,"(0, 1)",0.0,,,0.0,0.0,60.0,12.0
4.0,100,13,4,1,44001,405008,12,176,176,1,12,88,0.15,0,f50452a7729fe18b,"(19, 0)",0.0,,,0.0,0.0,64.0,10.0
4.0,100,13,4,1,44001,405008,13,174,174,1,13,87,0.16,0,f50452a7729fe18b,"(94, 1)",0.0,,,0.0,0.0,70.0,10.0
4.0,100,13,4,1,44001,405008,14,172,172,1,14,86,0.175,0,f50452a7729fe18b,"(82, 0)",0.0,,,0.0,0.0,73.0,9.0
4.0,100,13,4,1,44001,405008,15,170,170,1,15,85,0.1825,0,f50452a7729fe18b,"(61, 1)",0.0,,,0.0,0.0,77.0,9.0
4.0,100,13,4,1,44001,405008,16,168,168,1,16,84,0.1925,0,f50452a7729fe18b,"(14, 0)",0.0,,,0.0,0.0,83.0,13.0
4.0,100,13,4,1,44001,405008,17,166,166,1,17,83,0.2075,0,f50452a7729fe18b,"(58, 1)",0.0,,,0.0,0.0,90.0,11.0
4.0,100,13,4,1,44001,405008,18,164,164,1,18,82,0.225,0,f50452a7729fe18b,"(87, 1)",0.0,,,0.0,0.0,97.0,14.0
4.0,100,13,4,1,44001,405008,19,162,162,1,19,81,0.2425,0,f50452a7729fe18b,"(86, 0)",0.0,,,0.0,0.0,105.0,15.0
4.0,100,13,4,1,44001,405008,20,160,160,1,20,80,0.2625,0,f50452a7729fe18b,"(2, 0)",0.0,,,0.0,0.0,112.0,13.0
4.0,100,13,4,1,44001,405008,21,158,158,1,21,79,0.28,0,f50452a7729fe18b,"(52, 1)",0.0,,,0.0,0.0,119.0,19.0
4.0,100,13,4,1,44001,405008,22,156,156,1,22,78,0.2975,0,f50452a7729fe18b,"(77, 0)",0.0,,,0.0,0.0,124.0,12.0
4.0,100,13,4,1,44001,405008,23,154,154,1,23,77,0.31,0,f50452a7729fe18b,"(74, 0)",0.0,,,0.0,0.0,126.0,9.0
4.0,100,13,4,1,44001,405008,24,152,152,1,24,76,0.315,0,f50452a7729fe18b,"(28, 1)",0.0,,,0.0,0.0,132.0,10.0
4.0,100,13,4,1,44001,405008,25,150,150,1,25,75,0.33,0,f50452a7729fe18b,"(81, 1)",0.0,,,0.0,0.0,132.0,8.0
4.0,100,13,4,1,44001,405008,26,148,148,1,26,74,0.33,0,f50452a7729fe18b,"(10, 0)",0.0,,,0.0,0.0,133.0,8.0
4.0,100,13,4,1,44001,405008,27,146,146,1,27,73,0.3325,0,f50452a7729fe18b,"(21, 1)",0.0,,,0.0,0.0,137.0,9.0
4.0,100,13,4,1,44001,405008,28,144,144,1,28,72,0.3425,0,f50452a7729fe18b,"(55, 0)",0.0,,,0.0,0.0,143.0,10.0
4.0,100,13,4,1,44001,405008,29,142,142,1,29,71,0.3575,0,f50452a7729fe18b,"(6, 0)",0.0,,,0.0,0.0,145.0,7.0
4.0,100,13,4,1,44001,405008,30,140,140,1,30,70,0.3625,0,f50452a7729fe18b,"(72, 1)",0.0,,,0.0,0.0,149.0,9.0
4.0,100,13,4,1,44001,405008,31,138,138,1,31,69,0.3725,0,f50452a7729fe18b,"(46, 1)",0.0,,,0.0,0.0,155.0,13.0
4.0,100,13,4,1,44001,405008,32,136,136,1,32,68,0.3875,0,f50452a7729fe18b,"(68, 0)",0.0,,,0.0,0.0,159.0,14.0
4.0,100,13,4,1,44001,405008,33,134,134,1,33,67,0.3975,0,f50452a7729fe18b,"(7, 0)",0.0,,,0.0,0.0,163.0,10.0
4.0,100,13,4,1,44001,405008,34,132,132,1,34,66,0.4075,0,f50452a7729fe18b,"(4, 0)",0.0,,,0.0,0.0,166.0,12.0
4.0,100,13,4,1,44001,405008,35,130,130,1,35,65,0.415,0,f50452a7729fe18b,"(99, 0)",0.0,,,0.0,0.0,170.0,11.0
4.0,100,13,4,1,44001,405008,36,128,128,1,36,64,0.425,0,f50452a7729fe18b,"(53, 1)",0.0,,,0.0,0.0,172.0,10.0
4.0,100,13,4,1,44001,405008,37,126,126,1,37,63,0.43,0,f50452a7729fe18b,"(88, 1)",0.0,,,0.0,0.0,174.0,10.0
4.0,100,13,4,1,44001,405008,38,124,124,1,38,62,0.435,0,f50452a7729fe18b,"(98, 0)",0.0,,,0.0,0.0,180.0,10.0
4.0,100,13,4,1,44001,405008,39,122,122,1,39,61,0.45,0,f50452a7729fe18b,"(39, 0)",0.0,,,0.0,0.0,187.0,15.0
4.0,100,13,4,1,44001,405008,40,120,120,1,40,60,0.4675,0,f50452a7729fe18b,"(24, 1)",0.0,,,0.0,0.0,191.0,10.0
4.0,100,13,4,1,44001,405008,41,118,118,1,41,59,0.4775,0,f50452a7729fe18b,"(26, 1)",0.0,,,0.0,0.0,194.0,11.0
4.0,100,13,4,1,44001,405008,42,116,116,1,42,58,0.485,0,f50452a7729fe18b,"(63, 0)",0.0,,,0.0,0.0,197.0,9.0
4.0,100,13,4,1,44001,405008,43,114,114,1,43,57,0.4925,0,f50452a7729fe18b,"(64, 1)",0.0,,,0.0,0.0,201.0,10.0
4.0,100,13,4,1,44001,405008,44,112,112,1,44,56,0.5025,0,f50452a7729fe18b,"(62, 0)",0.0,,,0.0,0.0,203.0,10.0
4.0,100,13,4,1,44001,405008,45,110,110,1,45,55,0.5075,0,f50452a7729fe18b,"(92, 1)",0.0,,,0.0,0.0,208.0,11.0
4.0,100,13,4,1,44001,405008,46,108,108,1,46,54,0.52,0,f50452a7729fe18b,"(27, 1)",0.0,,,0.0,0.0,214.0,16.0
4.0,100,13,4,1,44001,405008,47,106,106,1,47,53,0.535,0,f50452a7729fe18b,"(40, 0)",1.0,,,1.0,1.0,218.0,15.0
4.0,100,13,4,1,44001,405008,48,104,103,1,48,52,0.545,1,f50452a7729fe18b,"(93, 0)",2.0,,,2.0,1.0,225.0,12.0
4.0,100,13,4,1,44001,405008,49,102,100,1,49,51,0.5625,2,f50452a7729fe18b,"(67, 1)",2.0,,,2.0,0.0,226.0,8.0
4.0,100,13,4,1,44001,405008,50,100,98,1,50,50,0.565,2,f50452a7729fe18b,"(38, 1)",2.0,,,2.0,0.0,231.0,14.0
4.0,100,13,4,1,44001,405008,51,98,96,1,51,49,0.5775,2,f50452a7729fe18b,"(48, 0)",2.0,,,2.0,0.0,234.0,11.0
4.0,100,13,4,1,44001,405008,52,96,94,1,52,48,0.585,2,f50452a7729fe18b,"(22, 1)",2.0,,,2.0,0.0,235.0,5.0
4.0,100,13,4,1,44001,405008,53,94,92,1,53,47,0.5875,2,f50452a7729fe18b,"(34, 0)",3.0,,,3.0,1.0,238.0,17.0
4.0,100,13,4,1,44001,405008,54,92,89,1,54,46,0.595,3,f50452a7729fe18b,"(83, 0)",3.0,,,3.0,0.0,244.0,12.0
4.0,100,13,4,1,44001,405008,55,90,87,1,55,45,0.61,3,f50452a7729fe18b,"(47, 1)",3.0,,,3.0,0.0,248.0,13.0
4.0,100,13,4,1,44001,405008,56,88,85,1,56,44,0.62,3,f50452a7729fe18b,"(35, 0)",4.0,,,4.0,1.0,252.0,11.0
4.0,100,13,4,1,44001,405008,57,86,82,1,57,43,0.63,4,f50452a7729fe18b,"(57, 0)",4.0,,,4.0,0.0,258.0,19.0
4.0,100,13,4,1,44001,405008,58,84,80,1,58,42,0.645,4,f50452a7729fe18b,"(23, 1)",5.0,,,5.0,1.0,262.0,16.0
4.0,100,13,4,1,44001,405008,59,82,77,1,59,41,0.655,5,f50452a7729fe18b,"(49, 0)",6.0,,,6.0,1.0,263.0,8.0
4.0,100,13,4,1,44001,405008,60,80,74,1,60,40,0.6575,6,f50452a7729fe18b,"(25, 0)",7.0,,,7.0,1.0,266.0,10.0
4.0,100,13,4,1,44001,405008,61,78,71,1,61,39,0.665,7,f50452a7729fe18b,"(59, 0)",8.0,,,8.0,1.0,271.0,11.0
4.0,100,13,4,1,44001,405008,62,76,68,1,62,38,0.6775,8,f50452a7729fe18b,"(43, 0)",8.0,,,8.0,0.0,274.0,10.0
4.0,100,13,4,1,44001,405008,63,74,66,1,63,37,0.685,8,f50452a7729fe18b,"(37, 1)",8.0,,,8.0,0.0,277.0,18.0
4.0,100,13,4,1,44001,405008,64,72,64,1,64,36,0.6925,8,f50452a7729fe18b,"(44, 1)",9.0,,,9.0,1.0,281.0,15.0
4.0,100,13,4,1,44001,405008,65,70,61,1,65,35,0.7025,9,f50452a7729fe18b,"(85, 0)",9.0,,,9.0,0.0,285.0,11.0
4.0,100,13,4,1,44001,405008,66,68,59,1,66,34,0.7125,9,f50452a7729fe18b,"(95, 1)",9.0,,,9.0,0.0,289.0,7.0
4.0,100,13,4,1,44001,405008,67,66,57,1,67,33,0.7225,9,f50452a7729fe18b,"(16, 0)",9.0,,,9.0,0.0,291.0,9.0
4.0,100,13,4,1,44001,405008,68,64,55,1,68,32,0.7275,9,f50452a7729fe18b,"(41, 1)",9.0,,,9.0,0.0,294.0,14.0
4.0,100,13,4,1,44001,405008,69,62,53,1,69,31,0.735,9,f50452a7729fe18b,"(97, 0)",10.0,,,10.0,1.0,298.0,14.0
4.0,100,13,4,1,44001,405008,70,60,50,1,70,30,0.745,10,f50452a7729fe18b,"(91, 1)",11.0,,,11.0,1.0,302.0,10.0
4.0,100,13,4,1,44001,405008,71,58,47,1,71,29,0.755,11,f50452a7729fe18b,"(73, 1)",11.0,,,11.0,0.0,307.0,15.0
4.0,100,13,4,1,44001,405008,72,56,45,1,72,28,0.7675,11,f50452a7729fe18b,"(9, 0)",12.0,,,12.0,1.0,313.0,12.0
4.0,100,13,4,1,44001,405008,73,54,42,1,73,27,0.7825,12,f50452a7729fe18b,"(33, 0)",13.0,,,13.0,1.0,318.0,15.0
4.0,100,13,4,1,44001,405008,74,52,39,1,74,26,0.795,13,f50452a7729fe18b,"(80, 1)",13.0,,,13.0,0.0,321.0,17.0
4.0,100,13,4,1,44001,405008,75,50,37,1,75,25,0.8025,13,f50452a7729fe18b,"(71, 1)",14.0,,,14.0,1.0,322.0,10.0
4.0,100,13,4,1,44001,405008,76,48,35,1,76,24,0.805,14,f50452a7729fe18b,"(13, 1)",14.0,,,14.0,0.0,325.0,9.0
4.0,100,13,4,1,44001,405008,77,46,33,1,77,23,0.8125,14,f50452a7729fe18b,"(36, 1)",15.0,,,15.0,1.0,327.0,12.0
4.0,100,13,4,1,44001,405008,78,44,30,1,78,22,0.8175,15,f50452a7729fe18b,"(45, 1)",16.0,,,16.0,1.0,329.0,11.0
4.0,100,13,4,1,44001,405008,79,42,27,1,79,21,0.8225,16,f50452a7729fe18b,"(75, 0)",17.0,,,17.0,1.0,331.0,14.0
4.0,100,13,4,1,44001,405008,80,40,25,1,80,20,0.8275,17,f50452a7729fe18b,"(56, 1)",18.0,,,18.0,1.0,333.0,10.0
4.0,100,13,4,1,44001,405008,81,38,23,1,81,19,0.8325,18,f50452a7729fe18b,"(54, 0)",19.0,,,19.0,1.0,335.0,15.0
4.0,100,13,4,1,44001,405008,82,36,21,1,82,18,0.8375,19,f50452a7729fe18b,"(76, 1)",20.0,,,20.0,1.0,337.0,14.0
4.0,100,13,4,1,44001,405008,83,34,19,1,83,17,0.8425,20,f50452a7729fe18b,"(78, 1)",22.0,,,22.0,2.0,340.0,12.0
4.0,100,13,4,1,44001,405008,84,32,16,1,84,16,0.85,22,f50452a7729fe18b,"(8, 0)",24.0,,,24.0,2.0,342.0,8.0
4.0,100,13,4,1,44001,405008,85,30,13,1,85,15,0.855,24,f50452a7729fe18b,"(30, 1)",26.0,,,26.0,2.0,345.0,13.0
4.0,100,13,4,1,44001,405008,86,28,10,1,86,14,0.8625,26,f50452a7729fe18b,"(96, 0)",27.0,,,27.0,1.0,347.0,13.0
4.0,100,13,4,1,44001,405008,87,26,7,1,87,13,0.8675,27,f50452a7729fe18b,"(12, 0)",29.0,,,29.0,2.0,350.0,10.0
4.0,100,13,4,1,44001,405008,88,24,4,1,88,12,0.875,29,f50452a7729fe18b,"(1, 1)",31.0,,,31.0,2.0,352.0,17.0
4.0,100,13,4,1,44001,405008,89,22,2,1,89,11,0.88,31,f50452a7729fe18b,"(18, 0)",33.0,,,33.0,2.0,356.0,13.0
4.0,100,13,4,1,44001,405008,90,20,0,1,90,10,0.89,33,f50452a7729fe18b,,,no_legal_move,0,,,,
