alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
1.0,100,18,6,0,61001,601008,0,200,200,1,0,100,0.0,0,10cf035dce226c00,"(55, 1)",0.0,,,0.0,0.0,1.0,4.0
1.0,100,18,6,0,61001,601008,1,198,198,1,1,99,0.01,0,10cf035dce226c00,"(86, 0)",0.0,,,0.0,0.0,2.0,2.0
1.0,100,18,6,0,61001,601008,2,196,196,1,2,98,0.02,0,10cf035dce226c00,"(91, 1)",0.0,,,0.0,0.0,3.0,4.0
1.0,100,18,6,0,61001,601008,3,194,194,1,3,97,0.03,0,10cf035dce226c00,"(11, 1)",0.0,,,0.0,0.0,6.0,7.0
1.0,100,18,6,0,61001,601008,4,192,192,1,4,96,0.06,0,10cf035dce226c00,"(52, 1)",0.0,,,0.0,0.0,7.0,2.0
1.0,100,18,6,0,61001,601008,5,190,190,1,5,95,0.07,0,10cf035dce226c00,"(77, 1)",0.0,,,0.0,0.0,10.0,3.0
1.0,100,18,6,0,61001,601008,6,188,188,1,6,94,0.1,0,10cf035dce226c00,"(44, 0)",0.0,,,0.0,0.0,12.0,3.0
1.0,100,18,6,0,61001,601008,7,186,186,1,7,93,0.12,0,10cf035dce226c00,"(82, 0)",0.0,,,0.0,0.0,12.0,2.0
1.0,100,18,6,0,61001,601008,8,184,184,1,8,92,0.12,0,10cf035dce226c00,"(24, 1)",0.0,,,0.0,0.0,16.0,7.0
1.0,100,18,6,0,61001,601008,9,182,182,1,9,91,0.16,0,10cf035dce226c00,"(51, 0)",0.0,,,0.0,0.0,16.0,3.0
1.0,100,18,6,0,61001,601008,10,180,180,1,10,90,0.16,0,10cf035dce226c00,"(89, 0)",0.0,,,0.0,0.0,16.0,3.0
1.0,100,18,6,0,61001,601008,11,178,178,1,11,89,0.16,0,10cf035dce226c00,"(37, 0)",0.0,,,0.0,0.0,20.0,5.0
