alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
4.5,100,12,4,0,44501,404508,0,200,200,1,0,100,0.0,0,83a988ca6dc3bc20,"(26, 0)",0.0,,,0.0,0.0,4.0,9.0
4.5,100,12,4,0,44501,404508,1,198,198,1,1,99,0.008888888888888889,0,83a988ca6dc3bc20,"(91, 0)",0.0,,,0.0,0.0,5.0,6.0
4.5,100,12,4,0,44501,404508,2,196,196,1,2,98,0.011111111111111112,0,83a988ca6dc3bc20,"(54, 1)",0.0,,,0.0,0.0,8.0,10.0
4.5,100,12,4,0,44501,404508,3,194,194,1,3,97,0.017777777777777778,0,83a988ca6dc3bc20,"(70, 1)",0.0,,,0.0,0.0,19.0,19.0
4.5,100,12,4,0,44501,404508,4,192,192,1,4,96,0.042222222222222223,0,83a988ca6dc3bc20,"(29, 1)",0.0,,,0.0,0.0,23.0,7.0
4.5,100,12,4,0,44501,404508,5,190,190,1,5,95,0.051111111111111114,0,83a988ca6dc3bc20,"(38, 0)",0.0,,,0.0,0.0,26.0,18.0
4.5,100,12,4,0,44501,404508,6,188,188,1,6,94,0.057777777777777775,0,83a988ca6dc3bc20,"(46, 1)",0.0,,,0.0,0.0,34.0,15.0
4.5,100,12,4,0,44501,404508,7,186,186,1,7,93,0.07555555555555556,0,83a988ca6dc3bc20,"(67, 0)",0.0,,,0.0,0.0,43.0,17.0
4.5,100,12,4,0,44501,404508,8,184,184,1,8,92,0.09555555555555556,0,83a988ca6dc3bc20,"(21, 1)",0.0,,,0.0,0.0,52.0,14.0
4.5,100,12,4,0,44501,404508,9,182,182,1,9,91,0.11555555555555555,0,83a988ca6dc3bc20,"(98, 1)",0.0,,,0.0,0.0,59.0,11.0
4.5,100,12,4,0,44501,404508,10,180,180,1,10,90,0.13111111111111112,0,83a988ca6dc3bc20,"(49, 0)",0.0,,,0.0,0.0,65.0,11.0
4.5,100,12,4,0,44501,404508,11,178,178,1,11,89,0.14444444444444443,0,83a988ca6dc3bc20,"(99, 0)",0.0,,,0.0,0.0,69.0,10.0
4.5,100,12,4,0,44501,404508,12,176,176,1,12,88,0.15333333333333332,0,83a988ca6dc3bc20,"(10, 0)",0.0,,,0.0,0.0,72.0,7.0
4.5,100,12,4,0,44501,404508,13,174,174,1,13,87,0.16,0,83a988ca6dc3bc20,"(69, 0)",0.0,,,0.0,0.0,78.0,15.0
4.5,100,12,4,0,44501,404508,14,172,172,1,14,86,0.17333333333333334,0,83a988ca6dc3bc20,"(11, 0)",0.0,,,0.0,0.0,85.0,11.0
4.5,100,12,4,0,44501,404508,15,170,170,1,15,85,0.18888888888888888,0,83a988ca6dc3bc20,"(31, 1)",0.0,,,0.0,0.0,91.0,11.0
4.5,100,12,4,0,44501,404508,16,168,168,1,16,84,0.20222222222222222,0,83a988ca6dc3bc20,"(13, 1)",0.0,,,0.0,0.0,97.0,14.0
4.5,100,12,4,0,44501,404508,17,166,166,1,17,83,0.21555555555555556,0,83a988ca6dc3bc20,"(24, 1)",0.0,,,0.0,0.0,100.0,15.0
4.5,100,12,4,0,44501,404508,18,164,164,1,18,82,0.2222222222222222,0,83a988ca6dc3bc20,"(4, 1)",0.0,,,0.0,0.0,104.0,7.0
4.5,100,12,4,0,44501,404508,19,162,162,1,19,81,0.2311111111111111,0,83a988ca6dc3bc20,"(56, 0)",0.0,,,0.0,0.0,111.0,12.0
4.5,100,12,4,0,44501,404508,20,160,160,1,20,80,0.24666666666666667,0,83a988ca6dc3bc20,"(80, 0)",0.0,,,0.0,0.0,116.0,12.0
4.5,100,12,4,0,44501,404508,21,158,158,1,21,79,0.2577777777777778,0,83a988ca6dc3bc20,"(94, 1)",0.0,,,0.0,0.0,121.0,14.0
4.5,100,12,4,0,44501,404508,22,156,156,1,22,78,0.2688888888888889,0,83a988ca6dc3bc20,"(36, 0)",0.0,,,0.0,0.0,125.0,10.0
4.5,100,12,4,0,44501,404508,23,154,154,1,23,77,0.2777777777777778,0,83a988ca6dc3bc20,"(27, 0)",0.0,,,0.0,0.0,132.0,12.0
4.5,100,12,4,0,44501,404508,24,152,152,1,24,76,0.29333333333333333,0,83a988ca6dc3bc20,"(50, 1)",0.0,,,0.0,0.0,139.0,15.0
4.5,100,12,4,0,44501,404508,25,150,150,1,25,75,0.3088888888888889,0,83a988ca6dc3bc20,"(28, 1)",0.0,,,0.0,0.0,144.0,12.0
4.5,100,12,4,0,44501,404508,26,148,148,1,26,74,0.32,0,83a988ca6dc3bc20,"(20, 1)",0.0,,,0.0,0.0,149.0,8.0
4.5,100,12,4,0,44501,404508,27,146,146,1,27,73,0.33111111111111113,0,83a988ca6dc3bc20,"(74, 1)",0.0,,,0.0,0.0,154.0,11.0
4.5,100,12,4,0,44501,404508,28,144,144,1,28,72,0.3422222222222222,0,83a988ca6dc3bc20,"(90, 1)",0.0,,,0.0,0.0,159.0,13.0
4.5,100,12,4,0,44501,404508,29,142,142,1,29,71,0.35333333333333333,0,83a988ca6dc3bc20,"(76, 1)",0.0,,,0.0,0.0,164.0,13.0
4.5,100,12,4,0,44501,404508,30,140,140,1,30,70,0.36444444444444446,0,83a988ca6dc3bc20,"(33, 0)",0.0,,,0.0,0.0,170.0,10.0
4.5,100,12,4,0,44501,404508,31,138,138,1,31,69,0.37777777777777777,0,83a988ca6dc3bc20,"(77, 1)",0.0,,,0.0,0.0,176.0,15.0
4.5,100,12,4,0,44501,404508,32,136,136,1,32,68,0.39111111111111113,0,83a988ca6dc3bc20,"(17, 1)",0.0,,,0.0,0.0,180.0,6.0
4.5,100,12,4,0,44501,404508,33,134,134,1,33,67,0.4,0,83a988ca6dc3bc20,"(22, 1)",0.0,,,0.0,0.0,187.0,13.0
4.5,100,12,4,0,44501,404508,34,132,132,1,34,66,0.41555555555555557,0,83a988ca6dc3bc20,"(55, 1)",0.0,,,0.0,0.0,192.0,11.0
4.5,100,12,4,0,44501,404508,35,130,130,1,35,65,0.4266666666666667,0,83a988ca6dc3bc20,"(42, 1)",0.0,,,0.0,0.0,195.0,11.0
4.5,100,12,4,0,44501,404508,36,128,128,1,36,64,0.43333333333333335,0,83a988ca6dc3bc20,"(61, 1)",0.0,,,0.0,0.0,202.0,14.0
4.5,100,12,4,0,44501,404508,37,126,126,1,37,63,0.4488888888888889,0,83a988ca6dc3bc20,"(92, 1)",0.0,,,0.0,0.0,204.0,8.0
4.5,100,12,4,0,44501,404508,38,124,124,1,38,62,0.4533333333333333,0,83a988ca6dc3bc20,"(14, 1)",0.0,,,0.0,0.0,206.0,10.0
4.5,100,12,4,0,44501,404508,39,122,122,1,39,61,0.4577777777777778,0,83a988ca6dc3bc20,"(63, 1)",0.0,,,0.0,0.0,210.0,13.0
4.5,100,12,4,0,44501,404508,40,120,120,1,40,60,0.4666666666666667,0,83a988ca6dc3bc20,"(37, 1)",0.0,,,0.0,0.0,217.0,11.0
4.5,100,12,4,0,44501,404508,41,118,118,1,41,59,0.4822222222222222,0,83a988ca6dc3bc20,"(23, 0)",0.0,,,0.0,0.0,219.0,11.0
4.5,100,12,4,0,44501,404508,42,116,116,1,42,58,0.4866666666666667,0,83a988ca6dc3bc20,"(79, 0)",0.0,,,0.0,0.0,224.0,14.0
4.5,100,12,4,0,44501,404508,43,114,114,1,43,57,0.49777777777777776,0,83a988ca6dc3bc20,"(81, 1)",0.0,,,0.0,0.0,229.0,10.0
4.5,100,12,4,0,44501,404508,44,112,112,1,44,56,0.5088888888888888,0,83a988ca6dc3bc20,"(66, 1)",0.0,,,0.0,0.0,231.0,11.0
4.5,100,12,4,0,44501,404508,45,110,110,1,45,55,0.5133333333333333,0,83a988ca6dc3bc20,"(47, 1)",0.0,,,0.0,0.0,235.0,9.0
4.5,100,12,4,0,44501,404508,46,108,108,1,46,54,0.5222222222222223,0,83a988ca6dc3bc20,"(88, 1)",0.0,,,0.0,0.0,238.0,12.0
4.5,100,12,4,0,44501,404508,47,106,106,1,47,53,0.5288888888888889,0,83a988ca6dc3bc20,"(7, 1)",0.0,,,0.0,0.0,240.0,11.0
4.5,100,12,4,0,44501,404508,48,104,104,1,48,52,0.5333333333333333,0,83a988ca6dc3bc20,"(65, 1)",0.0,,,0.0,0.0,242.0,16.0
4.5,100,12,4,0,44501,404508,49,102,102,1,49,51,0.5377777777777778,0,83a988ca6dc3bc20,"(48, 1)",0.0,,,0.0,0.0,250.0,10.0
4.5,100,12,4,0,44501,404508,50,100,100,1,50,50,0.5555555555555556,0,83a988ca6dc3bc20,"(60, 0)",0.0,,,0.0,0.0,260.0,15.0
4.5,100,12,4,0,44501,404508,51,98,98,1,51,49,0.5777777777777777,0,83a988ca6dc3bc20,"(73, 1)",0.0,,,0.0,0.0,265.0,12.0
4.5,100,12,4,0,44501,404508,52,96,96,1,52,48,0.5888888888888889,0,83a988ca6dc3bc20,"(8, 1)",0.0,,,0.0,0.0,269.0,13.0
4.5,100,12,4,0,44501,404508,53,94,94,1,53,47,0.5977777777777777,0,83a988ca6dc3bc20,"(51, 1)",1.0,,,1.0,1.0,276.0,17.0
4.5,100,12,4,0,44501,404508,54,92,91,1,54,46,0.6133333333333333,1,83a988ca6dc3bc20,"(87, 1)",1.0,,,1.0,0.0,282.0,13.0
4.5,100,12,4,0,44501,404508,55,90,89,1,55,45,0.6266666666666667,1,83a988ca6dc3bc20,"(75, 1)",2.0,,,2.0,1.0,287.0,16.0
4.5,100,12,4,0,44501,404508,56,88,86,1,56,44,0.6377777777777778,2,83a988ca6dc3bc20,"(30, 0)",3.0,,,3.0,1.0,290.0,12.0
4.5,100,12,4,0,44501,404508,57,86,83,1,57,43,0.6444444444444445,3,83a988ca6dc3bc20,"(68, 0)",4.0,,,4.0,1.0,295.0,9.0
4.5,100,12,4,0,44501,404508,58,84,80,1,58,42,0.6555555555555556,4,83a988ca6dc3bc20,"(85, 1)",5.0,,,5.0,1.0,298.0,15.0
4.5,100,12,4,0,44501,404508,59,82,77,1,59,41,0.6622222222222223,5,83a988ca6dc3bc20,"(97, 1)",6.0,,,6.0,1.0,302.0,10.0
4.5,100,12,4,0,44501,404508,60,80,74,1,60,40,0.6711111111111111,6,83a988ca6dc3bc20,"(0, 0)",7.0,,,7.0,1.0,309.0,22.0
4.5,100,12,4,0,44501,404508,61,78,71,1,61,39,0.6866666666666666,7,83a988ca6dc3bc20,"(93, 0)",8.0,,,8.0,1.0,311.0,14.0
4.5,100,12,4,0,44501,404508,62,76,68,1,62,38,0.6911111111111111,8,83a988ca6dc3bc20,"(40, 1)",8.0,,,8.0,0.0,315.0,13.0
4.5,100,12,4,0,44501,404508,63,74,66,1,63,37,0.7,8,83a988ca6dc3bc20,"(41, 0)",9.0,,,9.0,1.0,319.0,10.0
4.5,100,12,4,0,44501,404508,64,72,63,1,64,36,0.7088888888888889,9,83a988ca6dc3bc20,"(64, 1)",10.0,,,10.0,1.0,321.0,11.0
4.5,100,12,4,0,44501,404508,65,70,60,1,65,35,0.7133333333333334,10,83a988ca6dc3bc20,"(96, 0)",11.0,,,11.0,1.0,324.0,17.0
4.5,100,12,4,0,44501,404508,66,68,57,1,66,34,0.72,11,83a988ca6dc3bc20,"(6, 0)",12.0,,,12.0,1.0,327.0,16.0
4.5,100,12,4,0,44501,404508,67,66,54,1,67,33,0.7266666666666667,12,83a988ca6dc3bc20,"(45, 1)",13.0,,,13.0,1.0,332.0,20.0
4.5,100,12,4,0,44501,404508,68,64,51,1,68,32,0.7377777777777778,13,83a988ca6dc3bc20,"(5, 1)",14.0,,,14.0,1.0,338.0,16.0
4.5,100,12,4,0,44501,404508,69,62,48,1,69,31,0.7511111111111111,14,83a988ca6dc3bc20,"(59, 1)",14.0,,,14.0,0.0,341.0,16.0
4.5,100,12,4,0,44501,404508,70,60,46,1,70,30,0.7577777777777778,14,83a988ca6dc3bc20,"(35, 0)",15.0,,,15.0,1.0,345.0,15.0
