alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
1.5,100,20,6,2,61501,603508,0,200,200,1,0,100,0.0,0,578aa181d73b708e,"(28, 0)",0.0,,,0.0,0.0,0.0,2.0
1.5,100,20,6,2,61501,603508,1,198,198,1,1,99,0.0,0,578aa181d73b708e,"(85, 1)",0.0,,,0.0,0.0,1.0,5.0
1.5,100,20,6,2,61501,603508,2,196,196,1,2,98,0.006666666666666667,0,578aa181d73b708e,"(76, 1)",0.0,,,0.0,0.0,6.0,7.0
1.5,100,20,6,2,61501,603508,3,194,194,1,3,97,0.04,0,578aa181d73b708e,"(78, 1)",0.0,,,0.0,0.0,6.0,0.0
1.5,100,20,6,2,61501,603508,4,192,192,1,4,96,0.04,0,578aa181d73b708e,"(11, 0)",0.0,,,0.0,0.0,11.0,7.0
1.5,100,20,6,2,61501,603508,5,190,190,1,5,95,0.07333333333333333,0,578aa181d73b708e,"(26, 0)",0.0,,,0.0,0.0,12.0,2.0
1.5,100,20,6,2,61501,603508,6,188,188,1,6,94,0.08,0,578aa181d73b708e,"(52, 0)",0.0,,,0.0,0.0,13.0,2.0
1.5,100,20,6,2,61501,603508,7,186,186,1,7,93,0.08666666666666667,0,578aa181d73b708e,"(21, 0)",0.0,,,0.0,0.0,17.0,4.0
1.5,100,20,6,2,61501,603508,8,184,184,1,8,92,0.11333333333333333,0,578aa181d73b708e,"(30, 1)",0.0,,,0.0,0.0,20.0,5.0
1.5,100,20,6,2,61501,603508,9,182,182,1,9,91,0.13333333333333333,0,578aa181d73b708e,"(18, 0)",0.0,,,0.0,0.0,22.0,3.0
1.5,100,20,6,2,61501,603508,10,180,180,1,10,90,0.14666666666666667,0,578aa181d73b708e,"(1, 1)",0.0,,,0.0,0.0,24.0,4.0
1.5,100,20,6,2,61501,603508,11,178,178,1,11,89,0.16,0,578aa181d73b708e,"(13, 0)",0.0,,,0.0,0.0,30.0,10.0
1.5,100,20,6,2,61501,603508,12,176,176,1,12,88,0.2,0,578aa181d73b708e,"(44, 0)",0.0,,,0.0,0.0,33.0,5.0
1.5,100,20,6,2,61501,603508,13,174,174,1,13,87,0.22,0,578aa181d73b708e,"(31, 0)",0.0,,,0.0,0.0,37.0,7.0
1.5,100,20,6,2,61501,603508,14,172,172,1,14,86,0.24666666666666667,0,578aa181d73b708e,"(35, 0)",0.0,,,0.0,0.0,39.0,7.0
1.5,100,20,6,2,61501,603508,15,170,170,1,15,85,0.26,0,578aa181d73b708e,"(10, 1)",0.0,,,0.0,0.0,42.0,6.0
1.5,100,20,6,2,61501,603508,16,168,168,1,16,84,0.28,0,578aa181d73b708e,"(4, 1)",0.0,,,0.0,0.0,44.0,5.0
1.5,100,20,6,2,61501,603508,17,166,166,1,17,83,0.29333333333333333,0,578aa181d73b708e,"(58, 0)",0.0,,,0.0,0.0,47.0,6.0
1.5,100,20,6,2,61501,603508,18,164,164,1,18,82,0.31333333333333335,0,578aa181d73b708e,"(72, 1)",0.0,,,0.0,0.0,47.0,1.0
1.5,100,20,6,2,61501,603508,19,162,162,1,19,81,0.31333333333333335,0,578aa181d73b708e,"(54, 1)",0.0,,,0.0,0.0,48.0,2.0
1.5,100,20,6,2,61501,603508,20,160,160,1,20,80,0.32,0,578aa181d73b708e,"(41, 0)",0.0,,,0.0,0.0,49.0,2.0
1.5,100,20,6,2,61501,603508,21,158,158,1,21,79,0.32666666666666666,0,578aa181d73b708e,"(19, 0)",0.0,,,0.0,0.0,51.0,3.0
1.5,100,20,6,2,61501,603508,22,156,156,1,22,78,0.34,0,578aa181d73b708e,"(7, 1)",0.0,,,0.0,0.0,53.0,4.0
1.5,100,20,6,2,61501,603508,23,154,154,1,23,77,0.35333333333333333,0,578aa181d73b708e,"(50, 1)",0.0,,,0.0,0.0,54.0,3.0
1.5,100,20,6,2,61501,603508,24,152,152,1,24,76,0.36,0,578aa181d73b708e,"(64, 1)",0.0,,,0.0,0.0,56.0,7.0
1.5,100,20,6,2,61501,603508,25,150,150,1,25,75,0.37333333333333335,0,578aa181d73b708e,"(25, 0)",0.0,,,0.0,0.0,57.0,4.0
1.5,100,20,6,2,61501,603508,26,148,148,1,26,74,0.38,0,578aa181d73b708e,"(66, 1)",0.0,,,0.0,0.0,58.0,3.0
1.5,100,20,6,2,61501,603508,27,146,146,1,27,73,0.38666666666666666,0,578aa181d73b708e,"(38, 0)",0.0,,,0.0,0.0,62.0,7.0
1.5,100,20,6,2,61501,603508,28,144,144,1,28,72,0.41333333333333333,0,578aa181d73b708e,"(33, 0)",0.0,,,0.0,0.0,65.0,7.0
1.5,100,20,6,2,61501,603508,29,142,142,1,29,71,0.43333333333333335,0,578aa181d73b708e,"(23, 1)",0.0,,,0.0,0.0,65.0,0.0
1.5,100,20,6,2,61501,603508,30,140,140,1,30,70,0.43333333333333335,0,578aa181d73b708e,"(22, 0)",0.0,,,0.0,0.0,66.0,6.0
1.5,100,20,6,2,61501,603508,31,138,138,1,31,69,0.44,0,578aa181d73b708e,"(86, 0)",0.0,,,0.0,0.0,69.0,5.0
1.5,100,20,6,2,61501,603508,32,136,136,1,32,68,0.46,0,578aa181d73b708e,"(87, 1)",0.0,,,0.0,0.0,69.0,2.0
1.5,100,20,6,2,61501,603508,33,134,134,1,33,67,0.46,0,578aa181d73b708e,"(55, 1)",0.0,,,0.0,0.0,71.0,4.0
1.5,100,20,6,2,61501,603508,34,132,132,1,34,66,0.47333333333333333,0,578aa181d73b708e,"(14, 0)",0.0,,,0.0,0.0,73.0,6.0
