alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
3.5,100,0,0,0,3501,3508,0,200,200,1,0,100,0.0,0,f97d26293394aa53,"(38, 1)",0.0,,,0.0,0.0,3.0,9.0
3.5,100,0,0,0,3501,3508,1,198,198,1,1,99,0.008571428571428572,0,f97d26293394aa53,"(99, 0)",0.0,,,0.0,0.0,8.0,8.0
3.5,100,0,0,0,3501,3508,2,196,196,1,2,98,0.022857142857142857,0,f97d26293394aa53,"(54, 1)",0.0,,,0.0,0.0,12.0,6.0
3.5,100,0,0,0,3501,3508,3,194,194,1,3,97,0.03428571428571429,0,f97d26293394aa53,"(93, 0)",0.0,,,0.0,0.0,16.0,9.0
3.5,100,0,0,0,3501,3508,4,192,192,1,4,96,0.045714285714285714,0,f97d26293394aa53,"(50, 1)",0.0,,,0.0,0.0,19.0,6.0
3.5,100,0,0,0,3501,3508,5,190,190,1,5,95,0.054285714285714284,0,f97d26293394aa53,"(95, 0)",0.0,,,0.0,0.0,26.0,16.0
3.5,100,0,0,0,3501,3508,6,188,188,1,6,94,0.07428571428571429,0,f97d26293394aa53,"(91, 0)",0.0,,,0.0,0.0,31.0,8.0
3.5,100,0,0,0,3501,3508,7,186,186,1,7,93,0.08857142857142856,0,f97d26293394aa53,"(46, 1)",0.0,,,0.0,0.0,35.0,12.0
3.5,100,0,0,0,3501,3508,8,184,184,1,8,92,0.1,0,f97d26293394aa53,"(92, 1)",0.0,,,0.0,0.0,39.0,11.0
3.5,100,0,0,0,3501,3508,9,182,182,1,9,91,0.11142857142857143,0,f97d26293394aa53,"(17, 0)",0.0,,,0.0,0.0,43.0,10.0
3.5,100,0,0,0,3501,3508,10,180,180,1,10,90,0.12285714285714286,0,f97d26293394aa53,"(71, 1)",0.0,,,0.0,0.0,49.0,13.0
3.5,100,0,0,0,3501,3508,11,178,178,1,11,89,0.14,0,f97d26293394aa53,"(43, 1)",0.0,,,0.0,0.0,53.0,15.0
3.5,100,0,0,0,3501,3508,12,176,176,1,12,88,0.15142857142857144,0,f97d26293394aa53,"(89, 0)",0.0,,,0.0,0.0,55.0,8.0
3.5,100,0,0,0,3501,3508,13,174,174,1,13,87,0.15714285714285714,0,f97d26293394aa53,"(28, 0)",0.0,,,0.0,0.0,58.0,7.0
3.5,100,0,0,0,3501,3508,14,172,172,1,14,86,0.1657142857142857,0,f97d26293394aa53,"(35, 0)",0.0,,,0.0,0.0,61.0,8.0
3.5,100,0,0,0,3501,3508,15,170,170,1,15,85,0.1742857142857143,0,f97d26293394aa53,"(31, 1)",0.0,,,0.0,0.0,66.0,13.0
3.5,100,0,0,0,3501,3508,16,168,168,1,16,84,0.18857142857142858,0,f97d26293394aa53,"(26, 1)",0.0,,,0.0,0.0,70.0,14.0
3.5,100,0,0,0,3501,3508,17,166,166,1,17,83,0.2,0,f97d26293394aa53,"(83, 0)",0.0,,,0.0,0.0,76.0,9.0
3.5,100,0,0,0,3501,3508,18,164,164,1,18,82,0.21714285714285714,0,f97d26293394aa53,"(45, 0)",0.0,,,0.0,0.0,82.0,13.0
3.5,100,0,0,0,3501,3508,19,162,162,1,19,81,0.2342857142857143,0,f97d26293394aa53,"(8, 1)",0.0,,,0.0,0.0,87.0,13.0
3.5,100,0,0,0,3501,3508,20,160,160,1,20,80,0.24857142857142858,0,f97d26293394aa53,"(2, 1)",0.0,,,0.0,0.0,97.0,16.0
3.5,100,0,0,0,3501,3508,21,158,158,1,21,79,0.27714285714285714,0,f97d26293394aa53,"(82, 1)",0.0,,,0.0,0.0,99.0,5.0
3.5,100,0,0,0,3501,3508,22,156,156,1,22,78,0.28285714285714286,0,f97d26293394aa53,"(5, 0)",0.0,,,0.0,0.0,102.0,5.0
3.5,100,0,0,0,3501,3508,23,154,154,1,23,77,0.2914285714285714,0,f97d26293394aa53,"(74, 0)",0.0,,,0.0,0.0,108.0,12.0
3.5,100,0,0,0,3501,3508,24,152,152,1,24,76,0.30857142857142855,0,f97d26293394aa53,"(27, 1)",0.0,,,0.0,0.0,113.0,11.0
3.5,100,0,0,0,3501,3508,25,150,150,1,25,75,0.32285714285714284,0,f97d26293394aa53,"(33, 0)",0.0,,,0.0,0.0,116.0,9.0
3.5,100,0,0,0,3501,3508,26,148,148,1,26,74,0.3314285714285714,0,f97d26293394aa53,"(69, 1)",0.0,,,0.0,0.0,121.0,8.0
3.5,100,0,0,0,3501,3508,27,146,146,1,27,73,0.3457142857142857,0,f97d26293394aa53,"(56, 1)",0.0,,,0.0,0.0,124.0,6.0
3.5,100,0,0,0,3501,3508,28,144,144,1,28,72,0.35428571428571426,0,f97d26293394aa53,"(41, 0)",0.0,,,0.0,0.0,130.0,13.0
3.5,100,0,0,0,3501,3508,29,142,142,1,29,71,0.37142857142857144,0,f97d26293394aa53,"(78, 0)",0.0,,,0.0,0.0,132.0,9.0
3.5,100,0,0,0,3501,3508,30,140,140,1,30,70,0.37714285714285717,0,f97d26293394aa53,"(19, 0)",0.0,,,0.0,0.0,138.0,14.0
3.5,100,0,0,0,3501,3508,31,138,138,1,31,69,0.3942857142857143,0,f97d26293394aa53,"(15, 0)",0.0,,,0.0,0.0,139.0,7.0
3.5,100,0,0,0,3501,3508,32,136,136,1,32,68,0.39714285714285713,0,f97d26293394aa53,"(52, 1)",0.0,,,0.0,0.0,142.0,8.0
3.5,100,0,0,0,3501,3508,33,134,134,1,33,67,0.4057142857142857,0,f97d26293394aa53,"(70, 0)",0.0,,,0.0,0.0,147.0,12.0
3.5,100,0,0,0,3501,3508,34,132,132,1,34,66,0.42,0,f97d26293394aa53,"(77, 1)",0.0,,,0.0,0.0,153.0,11.0
3.5,100,0,0,0,3501,3508,35,130,130,1,35,65,0.43714285714285717,0,f97d26293394aa53,"(62, 1)",0.0,,,0.0,0.0,155.0,3.0
3.5,100,0,0,0,3501,3508,36,128,128,1,36,64,0.44285714285714284,0,f97d26293394aa53,"(10, 1)",0.0,,,0.0,0.0,158.0,7.0
3.5,100,0,0,0,3501,3508,37,126,126,1,37,63,0.4514285714285714,0,f97d26293394aa53,"(6, 0)",0.0,,,0.0,0.0,161.0,4.0
3.5,100,0,0,0,3501,3508,38,124,124,1,38,62,0.46,0,f97d26293394aa53,"(0, 0)",0.0,,,0.0,0.0,163.0,14.0
3.5,100,0,0,0,3501,3508,39,122,122,1,39,61,0.4657142857142857,0,f97d26293394aa53,"(25, 0)",0.0,,,0.0,0.0,166.0,6.0
3.5,100,0,0,0,3501,3508,40,120,120,1,40,60,0.4742857142857143,0,f97d26293394aa53,"(90, 1)",0.0,,,0.0,0.0,171.0,13.0
3.5,100,0,0,0,3501,3508,41,118,118,1,41,59,0.48857142857142855,0,f97d26293394aa53,"(79, 1)",0.0,,,0.0,0.0,178.0,14.0
3.5,100,0,0,0,3501,3508,42,116,116,1,42,58,0.5085714285714286,0,f97d26293394aa53,"(40, 0)",0.0,,,0.0,0.0,182.0,8.0
3.5,100,0,0,0,3501,3508,43,114,114,1,43,57,0.52,0,f97d26293394aa53,"(30, 0)",0.0,,,0.0,0.0,185.0,8.0
3.5,100,0,0,0,3501,3508,44,112,112,1,44,56,0.5285714285714286,0,f97d26293394aa53,"(98, 0)",0.0,,,0.0,0.0,190.0,13.0
3.5,100,0,0,0,3501,3508,45,110,110,1,45,55,0.5428571428571428,0,f97d26293394aa53,"(47, 1)",0.0,,,0.0,0.0,191.0,5.0
3.5,100,0,0,0,3501,3508,46,108,108,1,46,54,0.5457142857142857,0,f97d26293394aa53,"(68, 0)",0.0,,,0.0,0.0,193.0,12.0
3.5,100,0,0,0,3501,3508,47,106,106,1,47,53,0.5514285714285714,0,f97d26293394aa53,"(88, 1)",0.0,,,0.0,0.0,197.0,8.0
3.5,100,0,0,0,3501,3508,48,104,104,1,48,52,0.5628571428571428,0,f97d26293394aa53,"(23, 1)",0.0,,,0.0,0.0,203.0,10.0
3.5,100,0,0,0,3501,3508,49,102,102,1,49,51,0.58,0,f97d26293394aa53,"(94, 1)",0.0,,,0.0,0.0,208.0,16.0
3.5,100,0,0,0,3501,3508,50,100,100,1,50,50,0.5942857142857143,0,f97d26293394aa53,"(61, 1)",0.0,,,0.0,0.0,211.0,9.0
3.5,100,0,0,0,3501,3508,51,98,98,1,51,49,0.6028571428571429,0,f97d26293394aa53,"(24, 0)",0.0,,,0.0,0.0,214.0,12.0
3.5,100,0,0,0,3501,3508,52,96,96,1,52,48,0.6114285714285714,0,f97d26293394aa53,"(7, 0)",0.0,,,0.0,0.0,219.0,10.0
3.5,100,0,0,0,3501,3508,53,94,94,1,53,47,0.6257142857142857,0,f97d26293394aa53,"(84, 1)",0.0,,,0.0,0.0,225.0,15.0
3.5,100,0,0,0,3501,3508,54,92,92,1,54,46,0.6428571428571429,0,f97d26293394aa53,"(42, 0)",0.0,,,0.0,0.0,229.0,6.0
3.5,100,0,0,0,3501,3508,55,90,90,1,55,45,0.6542857142857142,0,f97d26293394aa53,"(32, 0)",0.0,,,0.0,0.0,232.0,10.0
3.5,100,0,0,0,3501,3508,56,88,88,1,56,44,0.6628571428571428,0,f97d26293394aa53,"(81, 1)",0.0,,,0.0,0.0,233.0,6.0
3.5,100,0,0,0,3501,3508,57,86,86,1,57,43,0.6657142857142857,0,f97d26293394aa53,"(36, 0)",0.0,,,0.0,0.0,237.0,11.0
3.5,100,0,0,0,3501,3508,58,84,84,1,58,42,0.6771428571428572,0,f97d26293394aa53,"(60, 0)",0.0,,,0.0,0.0,242.0,7.0
3.5,100,0,0,0,3501,3508,59,82,82,1,59,41,0.6914285714285714,0,f97d26293394aa53,"(51, 1)",0.0,,,0.0,0.0,245.0,7.0
3.5,100,0,0,0,3501,3508,60,80,80,1,60,40,0.7,0,f97d26293394aa53,"(80, 0)",0.0,,,0.0,0.0,249.0,13.0
3.5,100,0,0,0,3501,3508,61,78,78,1,61,39,0.7114285714285714,0,f97d26293394aa53,"(58, 1)",0.0,,,0.0,0.0,250.0,10.0
3.5,100,0,0,0,3501,3508,62,76,76,1,62,38,0.7142857142857143,0,f97d26293394aa53,"(66, 0)",0.0,,,0.0,0.0,252.0,10.0
3.5,100,0,0,0,3501,3508,63,74,74,1,63,37,0.72,0,f97d26293394aa53,"(29, 0)",0.0,,,0.0,0.0,254.0,8.0
3.5,100,0,0,0,3501,3508,64,72,72,1,64,36,0.7257142857142858,0,f97d26293394aa53,"(1, 1)",0.0,,,0.0,0.0,256.0,5.0
3.5,100,0,0,0,3501,3508,65,70,70,1,65,35,0.7314285714285714,0,f97d26293394aa53,"(39, 1)",1.0,,,1.0,1.0,258.0,10.0
3.5,100,0,0,0,3501,3508,66,68,67,1,66,34,0.7371428571428571,1,f97d26293394aa53,"(14, 1)",1.0,,,1.0,0.0,263.0,11.0
3.5,100,0,0,0,3501,3508,67,66,65,1,67,33,0.7514285714285714,1,f97d26293394aa53,"(72, 1)",1.0,,,1.0,0.0,267.0,12.0
3.5,100,0,0,0,3501,3508,68,64,63,1,68,32,0.7628571428571429,1,f97d26293394aa53,"(59, 0)",2.0,,,2.0,1.0,273.0,12.0
3.5,100,0,0,0,3501,3508,69,62,60,1,69,31,0.78,2,f97d26293394aa53,"(49, 1)",3.0,,,3.0,1.0,276.0,10.0
3.5,100,0,0,0,3501,3508,70,60,57,1,70,30,0.7885714285714286,3,f97d26293394aa53,"(13, 0)",4.0,,,4.0,1.0,278.0,12.0
3.5,100,0,0,0,3501,3508,71,58,54,1,71,29,0.7942857142857143,4,f97d26293394aa53,"(65, 1)",5.0,,,5.0,1.0,281.0,11.0
3.5,100,0,0,0,3501,3508,72,56,51,1,72,28,0.8028571428571428,5,f97d26293394aa53,"(12, 1)",5.0,,,5.0,0.0,284.0,9.0
3.5,100,0,0,0,3501,3508,73,54,49,1,73,27,0.8114285714285714,5,f97d26293394aa53,"(22, 0)",6.0,,,6.0,1.0,287.0,11.0
3.5,100,0,0,0,3501,3508,74,52,46,1,74,26,0.82,6,f97d26293394aa53,"(44, 0)",7.0,,,7.0,1.0,290.0,10.0
3.5,100,0,0,0,3501,3508,75,50,43,1,75,25,0.8285714285714286,7,f97d26293394aa53,"(96, 0)",8.0,,,8.0,1.0,294.0,10.0
3.5,100,0,0,0,3501,3508,76,48,40,1,76,24,0.84,8,f97d26293394aa53,"(48, 0)",8.0,,,8.0,0.0,295.0,13.0
3.5,100,0,0,0,3501,3508,77,46,38,1,77,23,0.8428571428571429,8,f97d26293394aa53,"(20, 0)",9.0,,,9.0,1.0,299.0,14.0
3.5,100,0,0,0,3501,3508,78,44,35,1,78,22,0.8542857142857143,9,f97d26293394aa53,"(11, 0)",9.0,,,9.0,0.0,301.0,8.0
3.5,100,0,0,0,3501,3508,79,42,33,1,79,21,0.86,9,f97d26293394aa53,"(34, 1)",9.0,,,9.0,0.0,303.0,12.0
3.5,100,0,0,0,3501,3508,80,40,31,1,80,20,0.8657142857142858,9,f97d26293394aa53,"(85, 1)",9.0,,,9.0,0.0,305.0,9.0
3.5,100,0,0,0,3501,3508,81,38,29,1,81,19,0.8714285714285714,9,f97d26293394aa53,"(18, 1)",9.0,,,9.0,0.0,309.0,14.0
3.5,100,0,0,0,3501,3508,82,36,28,1,82,18,0.8828571428571429,9,f97d26293394aa53,"(4, 0)",10.0,,,10.0,1.0,311.0,14.0
3.5,100,0,0,0,3501,3508,83,34,25,1,83,17,0.8885714285714286,10,f97d26293394aa53,"(3, 1)",10.0,,,10.0,0.0,314.0,16.0
3.5,100,0,0,0,3501,3508,84,32,23,1,84,16,0.8971428571428571,10,f97d26293394aa53,"(16, 0)",10.0,,,10.0,0.0,317.0,13.0
3.5,100,0,0,0,3501,3508,85,30,21,1,85,15,0.9057142857142857,10,f97d26293394aa53,"(86, 1)",10.0,,,10.0,0.0,319.0,13.0
3.5,100,0,0,0,3501,3508,86,28,19,1,86,14,0.9114285714285715,10,f97d26293394aa53,"(21, 1)",10.0,,,10.0,0.0,321.0,10.0
3.5,100,0,0,0,3501,3508,87,26,17,1,87,13,0.9171428571428571,10,f97d26293394aa53,"(37, 0)",10.0,,,10.0,0.0,322.0,12.0
3.5,100,0,0,0,3501,3508,88,24,15,1,88,12,0.92,10,f97d26293394aa53,"(97, 0)",11.0,,,11.0,1.0,323.0,16.0
3.5,100,0,0,0,3501,3508,89,22,12,1,89,11,0.9228571428571428,11,f97d26293394aa53,"(63, 1)",12.0,,,12.0,1.0,325.0,18.0
3.5,100,0,0,0,3501,3508,90,20,10,1,90,10,0.9285714285714286,12,f97d26293394aa53,"(67, 0)",12.0,,,12.0,0.0,326.0,9.0
3.5,100,0,0,0,3501,3508,91,18,8,1,91,9,0.9314285714285714,12,f97d26293394aa53,"(73, 1)",12.0,,,12.0,0.0,329.0,10.0
3.5,100,0,0,0,3501,3508,92,16,6,1,92,8,0.94,12,f97d26293394aa53,"(64, 1)",13.0,,,13.0,1.0,331.0,12.0
3.5,100,0,0,0,3501,3508,93,14,3,1,93,7,0.9457142857142857,13,f97d26293394aa53,"(53, 0)",14.0,,,14.0,1.0,334.0,10.0
3.5,100,0,0,0,3501,3508,94,12,1,1,94,6,0.9542857142857143,14,f97d26293394aa53,"(87, 1)",14.0,,,14.0,0.0,335.0,14.0
3.5,100,0,0,0,3501,3508,95,10,0,1,95,5,0.9571428571428572,14,f97d26293394aa53,,,no_legal_move,0,,,,
