alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
2.0,100,12,4,0,42001,402008,0,200,200,1,0,100,0.0,0,7f94d1826ed1c25f,"(16, 1)",0.0,,,0.0,0.0,4.0,9.0
2.0,100,12,4,0,42001,402008,1,198,198,1,1,99,0.02,0,7f94d1826ed1c25f,"(17, 1)",0.0,,,0.0,0.0,8.0,8.0
2.0,100,12,4,0,42001,402008,2,196,196,1,2,98,0.04,0,7f94d1826ed1c25f,"(14, 1)",0.0,,,0.0,0.0,14.0,12.0
2.0,100,12,4,0,42001,402008,3,194,194,1,3,97,0.07,0,7f94d1826ed1c25f,"(30, 1)",0.0,,,0.0,0.0,17.0,6.0
2.0,100,12,4,0,42001,402008,4,192,192,1,4,96,0.085,0,7f94d1826ed1c25f,"(79, 1)",0.0,,,0.0,0.0,22.0,9.0
2.0,100,12,4,0,42001,402008,5,190,190,1,5,95,0.11,0,7f94d1826ed1c25f,"(94, 1)",0.0,,,0.0,0.0,26.0,5.0
2.0,100,12,4,0,42001,402008,6,188,188,1,6,94,0.13,0,7f94d1826ed1c25f,"(3, 0)",0.0,,,0.0,0.0,29.0,8.0
2.0,100,12,4,0,42001,402008,7,186,186,1,7,93,0.145,0,7f94d1826ed1c25f,"(7, 0)",0.0,,,0.0,0.0,33.0,11.0
2.0,100,12,4,0,42001,402008,8,184,184,1,8,92,0.165,0,7f94d1826ed1c25f,"(59, 0)",0.0,,,0.0,0.0,35.0,5.0
2.0,100,12,4,0,42001,402008,9,182,182,1,9,91,0.175,0,7f94d1826ed1c25f,"(22, 0)",0.0,,,0.0,0.0,36.0,6.0
2.0,100,12,4,0,42001,402008,10,180,180,1,10,90,0.18,0,7f94d1826ed1c25f,"(61, 1)",0.0,,,0.0,0.0,38.0,7.0
2.0,100,12,4,0,42001,402008,11,178,178,1,11,89,0.19,0,7f94d1826ed1c25f,"(38, 1)",0.0,,,0.0,0.0,41.0,5.0
2.0,100,12,4,0,42001,402008,12,176,176,1,12,88,0.205,0,7f94d1826ed1c25f,"(73, 0)",0.0,,,0.0,0.0,44.0,6.0
2.0,100,12,4,0,42001,402008,13,174,174,1,13,87,0.22,0,7f94d1826ed1c25f,"(6, 1)",0.0,,,0.0,0.0,45.0,3.0
2.0,100,12,4,0,42001,402008,14,172,172,1,14,86,0.225,0,7f94d1826ed1c25f,"(9, 0)",0.0,,,0.0,0.0,46.0,3.0
2.0,100,12,4,0,42001,402008,15,170,170,1,15,85,0.23,0,7f94d1826ed1c25f,"(71, 1)",0.0,,,0.0,0.0,51.0,13.0
2.0,100,12,4,0,42001,402008,16,168,168,1,16,84,0.255,0,7f94d1826ed1c25f,"(90, 0)",0.0,,,0.0,0.0,54.0,7.0
2.0,100,12,4,0,42001,402008,17,166,166,1,17,83,0.27,0,7f94d1826ed1c25f,"(43, 0)",0.0,,,0.0,0.0,60.0,9.0
2.0,100,12,4,0,42001,402008,18,164,164,1,18,82,0.3,0,7f94d1826ed1c25f,"(32, 1)",0.0,,,0.0,0.0,64.0,8.0
2.0,100,12,4,0,42001,402008,19,162,162,1,19,81,0.32,0,7f94d1826ed1c25f,"(76, 1)",0.0,,,0.0,0.0,64.0,4.0
2.0,100,12,4,0,42001,402008,20,160,160,1,20,80,0.32,0,7f94d1826ed1c25f,"(34, 1)",0.0,,,0.0,0.0,68.0,8.0
2.0,100,12,4,0,42001,402008,21,158,158,1,21,79,0.34,0,7f94d1826ed1c25f,"(24, 1)",0.0,,,0.0,0.0,68.0,6.0
2.0,100,12,4,0,42001,402008,22,156,156,1,22,78,0.34,0,7f94d1826ed1c25f,"(53, 0)",0.0,,,0.0,0.0,69.0,2.0
2.0,100,12,4,0,42001,402008,23,154,154,1,23,77,0.345,0,7f94d1826ed1c25f,"(19, 0)",0.0,,,0.0,0.0,70.0,4.0
2.0,100,12,4,0,42001,402008,24,152,152,1,24,76,0.35,0,7f94d1826ed1c25f,"(54, 1)",0.0,,,0.0,0.0,72.0,5.0
2.0,100,12,4,0,42001,402008,25,150,150,1,25,75,0.36,0,7f94d1826ed1c25f,"(57, 0)",0.0,,,0.0,0.0,76.0,7.0
2.0,100,12,4,0,42001,402008,26,148,148,1,26,74,0.38,0,7f94d1826ed1c25f,"(89, 0)",0.0,,,0.0,0.0,78.0,6.0
2.0,100,12,4,0,42001,402008,27,146,146,1,27,73,0.39,0,7f94d1826ed1c25f,"(42, 1)",0.0,,,0.0,0.0,80.0,7.0
2.0,100,12,4,0,42001,402008,28,144,144,1,28,72,0.4,0,7f94d1826ed1c25f,"(27, 0)",0.0,,,0.0,0.0,82.0,4.0
2.0,100,12,4,0,42001,402008,29,142,142,1,29,71,0.41,0,7f94d1826ed1c25f,"(1, 1)",0.0,,,0.0,0.0,84.0,5.0
2.0,100,12,4,0,42001,402008,30,140,140,1,30,70,0.42,0,7f94d1826ed1c25f,"(63, 1)",0.0,,,0.0,0.0,86.0,4.0
2.0,100,12,4,0,42001,402008,31,138,138,1,31,69,0.43,0,7f94d1826ed1c25f,"(80, 0)",0.0,,,0.0,0.0,86.0,0.0
2.0,100,12,4,0,42001,402008,32,136,136,1,32,68,0.43,0,7f94d1826ed1c25f,"(64, 1)",0.0,,,0.0,0.0,88.0,2.0
2.0,100,12,4,0,42001,402008,33,134,134,1,33,67,0.44,0,7f94d1826ed1c25f,"(41, 1)",0.0,,,0.0,0.0,91.0,6.0
2.0,100,12,4,0,42001,402008,34,132,132,1,34,66,0.455,0,7f94d1826ed1c25f,"(62, 0)",0.0,,,0.0,0.0,93.0,4.0
2.0,100,12,4,0,42001,402008,35,130,130,1,35,65,0.465,0,7f94d1826ed1c25f,"(72, 1)",0.0,,,0.0,0.0,96.0,7.0
2.0,100,12,4,0,42001,402008,36,128,128,1,36,64,0.48,0,7f94d1826ed1c25f,"(69, 0)",0.0,,,0.0,0.0,98.0,6.0
2.0,100,12,4,0,42001,402008,37,126,126,1,37,63,0.49,0,7f94d1826ed1c25f,"(25, 1)",0.0,,,0.0,0.0,100.0,8.0
2.0,100,12,4,0,42001,402008,38,124,124,1,38,62,0.5,0,7f94d1826ed1c25f,"(99, 0)",0.0,,,0.0,0.0,103.0,5.0
2.0,100,12,4,0,42001,402008,39,122,122,1,39,61,0.515,0,7f94d1826ed1c25f,"(18, 0)",0.0,,,0.0,0.0,106.0,3.0
2.0,100,12,4,0,42001,402008,40,120,120,1,40,60,0.53,0,7f94d1826ed1c25f,"(31, 1)",0.0,,,0.0,0.0,108.0,6.0
2.0,100,12,4,0,42001,402008,41,118,118,1,41,59,0.54,0,7f94d1826ed1c25f,"(75, 0)",0.0,,,0.0,0.0,108.0,2.0
2.0,100,12,4,0,42001,402008,42,116,116,1,42,58,0.54,0,7f94d1826ed1c25f,"(91, 1)",0.0,,,0.0,0.0,110.0,4.0
2.0,100,12,4,0,42001,402008,43,114,114,1,43,57,0.55,0,7f94d1826ed1c25f,"(45, 1)",0.0,,,0.0,0.0,112.0,4.0
2.0,100,12,4,0,42001,402008,44,112,112,1,44,56,0.56,0,7f94d1826ed1c25f,"(15, 1)",0.0,,,0.0,0.0,114.0,4.0
2.0,100,12,4,0,42001,402008,45,110,110,1,45,55,0.57,0,7f94d1826ed1c25f,"(8, 0)",0.0,,,0.0,0.0,116.0,5.0
2.0,100,12,4,0,42001,402008,46,108,108,1,46,54,0.58,0,7f94d1826ed1c25f,"(93, 0)",0.0,,,0.0,0.0,119.0,8.0
2.0,100,12,4,0,42001,402008,47,106,106,1,47,53,0.595,0,7f94d1826ed1c25f,"(66, 0)",0.0,,,0.0,0.0,122.0,5.0
2.0,100,12,4,0,42001,402008,48,104,104,1,48,52,0.61,0,7f94d1826ed1c25f,"(83, 1)",0.0,,,0.0,0.0,124.0,5.0
2.0,100,12,4,0,42001,402008,49,102,102,1,49,51,0.62,0,7f94d1826ed1c25f,"(2, 0)",0.0,,,0.0,0.0,125.0,7.0
2.0,100,12,4,0,42001,402008,50,100,100,1,50,50,0.625,0,7f94d1826ed1c25f,"(84, 0)",0.0,,,0.0,0.0,129.0,6.0
2.0,100,12,4,0,42001,402008,51,98,98,1,51,49,0.645,0,7f94d1826ed1c25f,"(20, 1)",0.0,,,0.0,0.0,130.0,9.0
2.0,100,12,4,0,42001,402008,52,96,96,1,52,48,0.65,0,7f94d1826ed1c25f,"(67, 0)",0.0,,,0.0,0.0,132.0,6.0
2.0,100,12,4,0,42001,402008,53,94,94,1,53,47,0.66,0,7f94d1826ed1c25f,"(60, 1)",0.0,,,0.0,0.0,133.0,3.0
2.0,100,12,4,0,42001,402008,54,92,92,1,54,46,0.665,0,7f94d1826ed1c25f,"(11, 0)",0.0,,,0.0,0.0,134.0,7.0
2.0,100,12,4,0,42001,402008,55,90,90,1,55,45,0.67,0,7f94d1826ed1c25f,"(96, 0)",0.0,,,0.0,0.0,135.0,4.0
2.0,100,12,4,0,42001,402008,56,88,88,1,56,44,0.675,0,7f94d1826ed1c25f,"(87, 0)",0.0,,,0.0,0.0,135.0,4.0
2.0,100,12,4,0,42001,402008,57,86,86,1,57,43,0.675,0,7f94d1826ed1c25f,"(81, 0)",0.0,,,0.0,0.0,136.0,5.0
2.0,100,12,4,0,42001,402008,58,84,84,1,58,42,0.68,0,7f94d1826ed1c25f,"(44, 1)",0.0,,,0.0,0.0,138.0,3.0
2.0,100,12,4,0,42001,402008,59,82,82,1,59,41,0.69,0,7f94d1826ed1c25f,"(33, 0)",0.0,,,0.0,0.0,141.0,8.0
2.0,100,12,4,0,42001,402008,60,80,80,1,60,40,0.705,0,7f94d1826ed1c25f,"(49, 1)",0.0,,,0.0,0.0,142.0,7.0
2.0,100,12,4,0,42001,402008,61,78,78,1,61,39,0.71,0,7f94d1826ed1c25f,"(85, 1)",0.0,,,0.0,0.0,145.0,4.0
2.0,100,12,4,0,42001,402008,62,76,76,1,62,38,0.725,0,7f94d1826ed1c25f,"(40, 0)",0.0,,,0.0,0.0,149.0,8.0
2.0,100,12,4,0,42001,402008,63,74,74,1,63,37,0.745,0,7f94d1826ed1c25f,"(74, 1)",0.0,,,0.0,0.0,150.0,4.0
2.0,100,12,4,0,42001,402008,64,72,72,1,64,36,0.75,0,7f94d1826ed1c25f,"(97, 1)",0.0,,,0.0,0.0,151.0,3.0
2.0,100,12,4,0,42001,402008,65,70,70,1,65,35,0.755,0,7f94d1826ed1c25f,"(29, 1)",0.0,,,0.0,0.0,152.0,3.0
2.0,100,12,4,0,42001,402008,66,68,68,1,66,34,0.76,0,7f94d1826ed1c25f,"(21, 0)",0.0,,,0.0,0.0,154.0,11.0
2.0,100,12,4,0,42001,402008,67,66,66,1,67,33,0.77,0,7f94d1826ed1c25f,"(39, 0)",0.0,,,0.0,0.0,156.0,4.0
2.0,100,12,4,0,42001,402008,68,64,64,1,68,32,0.78,0,7f94d1826ed1c25f,"(51, 1)",0.0,,,0.0,0.0,160.0,9.0
2.0,100,12,4,0,42001,402008,69,62,62,1,69,31,0.8,0,7f94d1826ed1c25f,"(47, 0)",0.0,,,0.0,0.0,162.0,8.0
2.0,100,12,4,0,42001,402008,70,60,60,1,70,30,0.81,0,7f94d1826ed1c25f,"(68, 0)",0.0,,,0.0,0.0,164.0,3.0
2.0,100,12,4,0,42001,402008,71,58,58,1,71,29,0.82,0,7f94d1826ed1c25f,"(82, 1)",0.0,,,0.0,0.0,165.0,3.0
2.0,100,12,4,0,42001,402008,72,56,56,1,72,28,0.825,0,7f94d1826ed1c25f,"(35, 0)",0.0,,,0.0,0.0,168.0,5.0
2.0,100,12,4,0,42001,402008,73,54,54,1,73,27,0.84,0,7f94d1826ed1c25f,"(65, 1)",0.0,,,0.0,0.0,172.0,13.0
2.0,100,12,4,0,42001,402008,74,52,52,1,74,26,0.86,0,7f94d1826ed1c25f,"(37, 0)",0.0,,,0.0,0.0,175.0,9.0
