alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
2.5,100,20,6,2,62501,604508,0,200,200,1,0,100,0.0,0,5802feccde7c90b3,"(32, 1)",0.0,,,0.0,0.0,1.0,6.0
2.5,100,20,6,2,62501,604508,1,198,198,1,1,99,0.004,0,5802feccde7c90b3,"(50, 0)",0.0,,,0.0,0.0,4.0,7.0
2.5,100,20,6,2,62501,604508,2,196,196,1,2,98,0.016,0,5802feccde7c90b3,"(38, 0)",0.0,,,0.0,0.0,7.0,6.0
2.5,100,20,6,2,62501,604508,3,194,194,1,3,97,0.028,0,5802feccde7c90b3,"(20, 1)",0.0,,,0.0,0.0,8.0,6.0
2.5,100,20,6,2,62501,604508,4,192,192,1,4,96,0.032,0,5802feccde7c90b3,"(7, 0)",0.0,,,0.0,0.0,14.0,7.0
2.5,100,20,6,2,62501,604508,5,190,190,1,5,95,0.056,0,5802feccde7c90b3,"(22, 0)",0.0,,,0.0,0.0,15.0,7.0
2.5,100,20,6,2,62501,604508,6,188,188,1,6,94,0.06,0,5802feccde7c90b3,"(14, 0)",0.0,,,0.0,0.0,22.0,10.0
2.5,100,20,6,2,62501,604508,7,186,186,1,7,93,0.088,0,5802feccde7c90b3,"(70, 1)",0.0,,,0.0,0.0,25.0,5.0
2.5,100,20,6,2,62501,604508,8,184,184,1,8,92,0.1,0,5802feccde7c90b3,"(8, 1)",0.0,,,0.0,0.0,25.0,5.0
2.5,100,20,6,2,62501,604508,9,182,182,1,9,91,0.1,0,5802feccde7c90b3,"(27, 1)",0.0,,,0.0,0.0,27.0,4.0
2.5,100,20,6,2,62501,604508,10,180,180,1,10,90,0.108,0,5802feccde7c90b3,"(34, 0)",0.0,,,0.0,0.0,31.0,13.0
2.5,100,20,6,2,62501,604508,11,178,178,1,11,89,0.124,0,5802feccde7c90b3,"(4, 0)",0.0,,,0.0,0.0,34.0,8.0
2.5,100,20,6,2,62501,604508,12,176,176,1,12,88,0.136,0,5802feccde7c90b3,"(93, 1)",0.0,,,0.0,0.0,38.0,10.0
2.5,100,20,6,2,62501,604508,13,174,174,1,13,87,0.152,0,5802feccde7c90b3,"(28, 0)",0.0,,,0.0,0.0,40.0,4.0
2.5,100,20,6,2,62501,604508,14,172,172,1,14,86,0.16,0,5802feccde7c90b3,"(26, 0)",0.0,,,0.0,0.0,44.0,8.0
2.5,100,20,6,2,62501,604508,15,170,170,1,15,85,0.176,0,5802feccde7c90b3,"(16, 1)",0.0,,,0.0,0.0,48.0,10.0
2.5,100,20,6,2,62501,604508,16,168,168,1,16,84,0.192,0,5802feccde7c90b3,"(17, 0)",0.0,,,0.0,0.0,50.0,6.0
2.5,100,20,6,2,62501,604508,17,166,166,1,17,83,0.2,0,5802feccde7c90b3,"(60, 1)",0.0,,,0.0,0.0,53.0,7.0
2.5,100,20,6,2,62501,604508,18,164,164,1,18,82,0.212,0,5802feccde7c90b3,"(64, 1)",0.0,,,0.0,0.0,53.0,4.0
2.5,100,20,6,2,62501,604508,19,162,162,1,19,81,0.212,0,5802feccde7c90b3,"(99, 0)",0.0,,,0.0,0.0,57.0,7.0
2.5,100,20,6,2,62501,604508,20,160,160,1,20,80,0.228,0,5802feccde7c90b3,"(97, 1)",0.0,,,0.0,0.0,60.0,8.0
2.5,100,20,6,2,62501,604508,21,158,158,1,21,79,0.24,0,5802feccde7c90b3,"(35, 1)",0.0,,,0.0,0.0,61.0,4.0
2.5,100,20,6,2,62501,604508,22,156,156,1,22,78,0.244,0,5802feccde7c90b3,"(73, 1)",0.0,,,0.0,0.0,64.0,5.0
2.5,100,20,6,2,62501,604508,23,154,154,1,23,77,0.256,0,5802feccde7c90b3,"(3, 0)",0.0,,,0.0,0.0,67.0,4.0
2.5,100,20,6,2,62501,604508,24,152,152,1,24,76,0.268,0,5802feccde7c90b3,"(12, 0)",0.0,,,0.0,0.0,68.0,3.0
2.5,100,20,6,2,62501,604508,25,150,150,1,25,75,0.272,0,5802feccde7c90b3,"(61, 0)",0.0,,,0.0,0.0,71.0,5.0
2.5,100,20,6,2,62501,604508,26,148,148,1,26,74,0.284,0,5802feccde7c90b3,"(52, 0)",0.0,,,0.0,0.0,78.0,13.0
2.5,100,20,6,2,62501,604508,27,146,146,1,27,73,0.312,0,5802feccde7c90b3,"(9, 1)",0.0,,,0.0,0.0,82.0,8.0
