alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
2.5,100,16,5,1,52501,503508,0,200,200,1,0,100,0.0,0,753830e24df9e06a,"(15, 1)",0.0,,,0.0,0.0,6.0,8.0
2.5,100,16,5,1,52501,503508,1,198,198,1,1,99,0.024,0,753830e24df9e06a,"(53, 0)",0.0,,,0.0,0.0,8.0,4.0
2.5,100,16,5,1,52501,503508,2,196,196,1,2,98,0.032,0,753830e24df9e06a,"(37, 0)",0.0,,,0.0,0.0,10.0,4.0
2.5,100,16,5,1,52501,503508,3,194,194,1,3,97,0.04,0,753830e24df9e06a,"(69, 0)",0.0,,,0.0,0.0,15.0,12.0
2.5,100,16,5,1,52501,503508,4,192,192,1,4,96,0.06,0,753830e24df9e06a,"(40, 1)",0.0,,,0.0,0.0,17.0,7.0
2.5,100,16,5,1,52501,503508,5,190,190,1,5,95,0.068,0,753830e24df9e06a,"(18, 0)",0.0,,,0.0,0.0,21.0,5.0
2.5,100,16,5,1,52501,503508,6,188,188,1,6,94,0.084,0,753830e24df9e06a,"(42, 0)",0.0,,,0.0,0.0,24.0,4.0
2.5,100,16,5,1,52501,503508,7,186,186,1,7,93,0.096,0,753830e24df9e06a,"(28, 0)",0.0,,,0.0,0.0,26.0,2.0
2.5,100,16,5,1,52501,503508,8,184,184,1,8,92,0.104,0,753830e24df9e06a,"(90, 0)",0.0,,,0.0,0.0,27.0,7.0
2.5,100,16,5,1,52501,503508,9,182,182,1,9,91,0.108,0,753830e24df9e06a,"(58, 1)",0.0,,,0.0,0.0,31.0,8.0
2.5,100,16,5,1,52501,503508,10,180,180,1,10,90,0.124,0,753830e24df9e06a,"(81, 0)",0.0,,,0.0,0.0,35.0,9.0
2.5,100,16,5,1,52501,503508,11,178,178,1,11,89,0.14,0,753830e24df9e06a,"(24, 1)",0.0,,,0.0,0.0,39.0,8.0
2.5,100,16,5,1,52501,503508,12,176,176,1,12,88,0.156,0,753830e24df9e06a,"(76, 0)",0.0,,,0.0,0.0,43.0,11.0
2.5,100,16,5,1,52501,503508,13,174,174,1,13,87,0.172,0,753830e24df9e06a,"(63, 0)",0.0,,,0.0,0.0,45.0,5.0
2.5,100,16,5,1,52501,503508,14,172,172,1,14,86,0.18,0,753830e24df9e06a,"(84, 0)",0.0,,,0.0,0.0,47.0,7.0
2.5,100,16,5,1,52501,503508,15,170,170,1,15,85,0.188,0,753830e24df9e06a,"(50, 1)",0.0,,,0.0,0.0,49.0,3.0
2.5,100,16,5,1,52501,503508,16,168,168,1,16,84,0.196,0,753830e24df9e06a,"(23, 0)",0.0,,,0.0,0.0,51.0,9.0
2.5,100,16,5,1,52501,503508,17,166,166,1,17,83,0.204,0,753830e24df9e06a,"(19, 0)",0.0,,,0.0,0.0,55.0,10.0
2.5,100,16,5,1,52501,503508,18,164,164,1,18,82,0.22,0,753830e24df9e06a,"(2, 1)",0.0,,,0.0,0.0,64.0,12.0
2.5,100,16,5,1,52501,503508,19,162,162,1,19,81,0.256,0,753830e24df9e06a,"(35, 1)",0.0,,,0.0,0.0,68.0,6.0
2.5,100,16,5,1,52501,503508,20,160,160,1,20,80,0.272,0,753830e24df9e06a,"(45, 0)",0.0,,,0.0,0.0,72.0,6.0
2.5,100,16,5,1,52501,503508,21,158,158,1,21,79,0.288,0,753830e24df9e06a,"(88, 0)",0.0,,,0.0,0.0,75.0,8.0
2.5,100,16,5,1,52501,503508,22,156,156,1,22,78,0.3,0,753830e24df9e06a,"(1, 1)",0.0,,,0.0,0.0,80.0,9.0
2.5,100,16,5,1,52501,503508,23,154,154,1,23,77,0.32,0,753830e24df9e06a,"(21, 0)",0.0,,,0.0,0.0,82.0,6.0
2.5,100,16,5,1,52501,503508,24,152,152,1,24,76,0.328,0,753830e24df9e06a,"(17, 0)",0.0,,,0.0,0.0,88.0,9.0
2.5,100,16,5,1,52501,503508,25,150,150,1,25,75,0.352,0,753830e24df9e06a,"(27, 1)",0.0,,,0.0,0.0,91.0,7.0
2.5,100,16,5,1,52501,503508,26,148,148,1,26,74,0.364,0,753830e24df9e06a,"(33, 1)",0.0,,,0.0,0.0,95.0,8.0
2.5,100,16,5,1,52501,503508,27,146,146,1,27,73,0.38,0,753830e24df9e06a,"(56, 0)",0.0,,,0.0,0.0,98.0,8.0
2.5,100,16,5,1,52501,503508,28,144,144,1,28,72,0.392,0,753830e24df9e06a,"(43, 0)",0.0,,,0.0,0.0,99.0,6.0
2.5,100,16,5,1,52501,503508,29,142,142,1,29,71,0.396,0,753830e24df9e06a,"(54, 0)",0.0,,,0.0,0.0,103.0,8.0
2.5,100,16,5,1,52501,503508,30,140,140,1,30,70,0.412,0,753830e24df9e06a,"(6, 1)",0.0,,,0.0,0.0,110.0,11.0
2.5,100,16,5,1,52501,503508,31,138,138,1,31,69,0.44,0,753830e24df9e06a,"(86, 1)",0.0,,,0.0,0.0,113.0,8.0
2.5,100,16,5,1,52501,503508,32,136,136,1,32,68,0.452,0,753830e24df9e06a,"(44, 1)",0.0,,,0.0,0.0,115.0,7.0
2.5,100,16,5,1,52501,503508,33,134,134,1,33,67,0.46,0,753830e24df9e06a,"(14, 0)",0.0,,,0.0,0.0,117.0,6.0
2.5,100,16,5,1,52501,503508,34,132,132,1,34,66,0.468,0,753830e24df9e06a,"(96, 0)",0.0,,,0.0,0.0,119.0,4.0
2.5,100,16,5,1,52501,503508,35,130,130,1,35,65,0.476,0,753830e24df9e06a,"(4, 0)",0.0,,,0.0,0.0,121.0,9.0
2.5,100,16,5,1,52501,503508,36,128,128,1,36,64,0.484,0,753830e24df9e06a,"(80, 0)",0.0,,,0.0,0.0,123.0,4.0
2.5,100,16,5,1,52501,503508,37,126,126,1,37,63,0.492,0,753830e24df9e06a,"(74, 1)",0.0,,,0.0,0.0,128.0,9.0
2.5,100,16,5,1,52501,503508,38,124,124,1,38,62,0.512,0,753830e24df9e06a,"(65, 1)",0.0,,,0.0,0.0,130.0,3.0
2.5,100,16,5,1,52501,503508,39,122,122,1,39,61,0.52,0,753830e24df9e06a,"(41, 0)",0.0,,,0.0,0.0,130.0,1.0
2.5,100,16,5,1,52501,503508,40,120,120,1,40,60,0.52,0,753830e24df9e06a,"(57, 1)",0.0,,,0.0,0.0,134.0,8.0
2.5,100,16,5,1,52501,503508,41,118,118,1,41,59,0.536,0,753830e24df9e06a,"(62, 1)",0.0,,,0.0,0.0,135.0,2.0
2.5,100,16,5,1,52501,503508,42,116,116,1,42,58,0.54,0,753830e24df9e06a,"(59, 1)",0.0,,,0.0,0.0,140.0,12.0
2.5,100,16,5,1,52501,503508,43,114,114,1,43,57,0.56,0,753830e24df9e06a,"(66, 1)",0.0,,,0.0,0.0,142.0,6.0
2.5,100,16,5,1,52501,503508,44,112,112,1,44,56,0.568,0,753830e24df9e06a,"(46, 0)",0.0,,,0.0,0.0,145.0,5.0
2.5,100,16,5,1,52501,503508,45,110,110,1,45,55,0.58,0,753830e24df9e06a,"(32, 1)",0.0,,,0.0,0.0,146.0,4.0
2.5,100,16,5,1,52501,503508,46,108,108,1,46,54,0.584,0,753830e24df9e06a,"(25, 1)",0.0,,,0.0,0.0,149.0,10.0
2.5,100,16,5,1,52501,503508,47,106,106,1,47,53,0.596,0,753830e24df9e06a,"(30, 0)",0.0,,,0.0,0.0,152.0,5.0
2.5,100,16,5,1,52501,503508,48,104,104,1,48,52,0.608,0,753830e24df9e06a,"(72, 0)",0.0,,,0.0,0.0,153.0,6.0
2.5,100,16,5,1,52501,503508,49,102,102,1,49,51,0.612,0,753830e24df9e06a,"(61, 1)",0.0,,,0.0,0.0,156.0,7.0
2.5,100,16,5,1,52501,503508,50,100,100,1,50,50,0.624,0,753830e24df9e06a,"(13, 1)",0.0,,,0.0,0.0,161.0,9.0
2.5,100,16,5,1,52501,503508,51,98,98,1,51,49,0.644,0,753830e24df9e06a,"(94, 1)",0.0,,,0.0,0.0,165.0,8.0
2.5,100,16,5,1,52501,503508,52,96,96,1,52,48,0.66,0,753830e24df9e06a,"(31, 0)",0.0,,,0.0,0.0,167.0,9.0
2.5,100,16,5,1,52501,503508,53,94,94,1,53,47,0.668,0,753830e24df9e06a,"(22, 0)",0.0,,,0.0,0.0,169.0,7.0
2.5,100,16,5,1,52501,503508,54,92,92,1,54,46,0.676,0,753830e24df9e06a,"(9, 0)",0.0,,,0.0,0.0,171.0,7.0
