alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
4.0,100,20,6,2,64001,606008,0,200,200,1,0,100,0.0,0,bf60208df1608c27,"(69, 0)",0.0,,,0.0,0.0,3.0,7.0
4.0,100,20,6,2,64001,606008,1,198,198,1,1,99,0.0075,0,bf60208df1608c27,"(96, 0)",0.0,,,0.0,0.0,8.0,15.0
4.0,100,20,6,2,64001,606008,2,196,196,1,2,98,0.02,0,bf60208df1608c27,"(47, 1)",0.0,,,0.0,0.0,13.0,9.0
4.0,100,20,6,2,64001,606008,3,194,194,1,3,97,0.0325,0,bf60208df1608c27,"(35, 0)",0.0,,,0.0,0.0,19.0,12.0
4.0,100,20,6,2,64001,606008,4,192,192,1,4,96,0.0475,0,bf60208df1608c27,"(30, 0)",0.0,,,0.0,0.0,25.0,13.0
4.0,100,20,6,2,64001,606008,5,190,190,1,5,95,0.0625,0,bf60208df1608c27,"(41, 0)",0.0,,,0.0,0.0,31.0,13.0
4.0,100,20,6,2,64001,606008,6,188,188,1,6,94,0.0775,0,bf60208df1608c27,"(29, 0)",0.0,,,0.0,0.0,35.0,14.0
4.0,100,20,6,2,64001,606008,7,186,186,1,7,93,0.0875,0,bf60208df1608c27,"(74, 0)",0.0,,,0.0,0.0,43.0,13.0
4.0,100,20,6,2,64001,606008,8,184,184,1,8,92,0.1075,0,bf60208df1608c27,"(42, 0)",0.0,,,0.0,0.0,48.0,10.0
4.0,100,20,6,2,64001,606008,9,182,182,1,9,91,0.12,0,bf60208df1608c27,"(3, 1)",0.0,,,0.0,0.0,55.0,13.0
4.0,100,20,6,2,64001,606008,10,180,180,1,10,90,0.1375,0,bf60208df1608c27,"(24, 1)",0.0,,,0.0,0.0,64.0,15.0
4.0,100,20,6,2,64001,606008,11,178,178,1,11,89,0.16,0,bf60208df1608c27,"(66, 0)",0.0,,,0.0,0.0,68.0,14.0
4.0,100,20,6,2,64001,606008,12,176,176,1,12,88,0.17,0,bf60208df1608c27,"(85, 1)",0.0,,,0.0,0.0,77.0,17.0
4.0,100,20,6,2,64001,606008,13,174,174,1,13,87,0.1925,0,bf60208df1608c27,"(76, 1)",0.0,,,0.0,0.0,80.0,10.0
4.0,100,20,6,2,64001,606008,14,172,172,1,14,86,0.2,0,bf60208df1608c27,"(62, 0)",0.0,,,0.0,0.0,90.0,22.0
4.0,100,20,6,2,64001,606008,15,170,170,1,15,85,0.225,0,bf60208df1608c27,"(60, 1)",0.0,,,0.0,0.0,92.0,12.0
4.0,100,20,6,2,64001,606008,16,168,168,1,16,84,0.23,0,bf60208df1608c27,"(67, 0)",0.0,,,0.0,0.0,95.0,13.0
4.0,100,20,6,2,64001,606008,17,166,166,1,17,83,0.2375,0,bf60208df1608c27,"(17, 1)",0.0,,,0.0,0.0,98.0,7.0
