alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
3.5,100,11,3,2,33501,305508,0,200,200,1,0,100,0.0,0,224ef15caed67cf2,"(3, 1)",0.0,,,0.0,0.0,3.0,7.0
3.5,100,11,3,2,33501,305508,1,198,198,1,1,99,0.008571428571428572,0,224ef15caed67cf2,"(29, 1)",0.0,,,0.0,0.0,8.0,11.0
3.5,100,11,3,2,33501,305508,2,196,196,1,2,98,0.022857142857142857,0,224ef15caed67cf2,"(0, 0)",0.0,,,0.0,0.0,11.0,15.0
3.5,100,11,3,2,33501,305508,3,194,194,1,3,97,0.03142857142857143,0,224ef15caed67cf2,"(25, 1)",0.0,,,0.0,0.0,14.0,10.0
3.5,100,11,3,2,33501,305508,4,192,192,1,4,96,0.04,0,224ef15caed67cf2,"(61, 1)",0.0,,,0.0,0.0,17.0,9.0
3.5,100,11,3,2,33501,305508,5,190,190,1,5,95,0.04857142857142857,0,224ef15caed67cf2,"(85, 0)",0.0,,,0.0,0.0,23.0,15.0
3.5,100,11,3,2,33501,305508,6,188,188,1,6,94,0.06571428571428571,0,224ef15caed67cf2,"(56, 0)",0.0,,,0.0,0.0,28.0,7.0
3.5,100,11,3,2,33501,305508,7,186,186,1,7,93,0.08,0,224ef15caed67cf2,"(78, 1)",0.0,,,0.0,0.0,37.0,13.0
3.5,100,11,3,2,33501,305508,8,184,184,1,8,92,0.10571428571428572,0,224ef15caed67cf2,"(57, 0)",0.0,,,0.0,0.0,41.0,9.0
3.5,100,11,3,2,33501,305508,9,182,182,1,9,91,0.11714285714285715,0,224ef15caed67cf2,"(10, 1)",0.0,,,0.0,0.0,44.0,10.0
3.5,100,11,3,2,33501,305508,10,180,180,1,10,90,0.12571428571428572,0,224ef15caed67cf2,"(87, 0)",0.0,,,0.0,0.0,46.0,9.0
3.5,100,11,3,2,33501,305508,11,178,178,1,11,89,0.13142857142857142,0,224ef15caed67cf2,"(16, 1)",0.0,,,0.0,0.0,53.0,10.0
3.5,100,11,3,2,33501,305508,12,176,176,1,12,88,0.15142857142857144,0,224ef15caed67cf2,"(31, 0)",0.0,,,0.0,0.0,58.0,14.0
3.5,100,11,3,2,33501,305508,13,174,174,1,13,87,0.1657142857142857,0,224ef15caed67cf2,"(86, 0)",0.0,,,0.0,0.0,61.0,11.0
3.5,100,11,3,2,33501,305508,14,172,172,1,14,86,0.1742857142857143,0,224ef15caed67cf2,"(59, 1)",0.0,,,0.0,0.0,67.0,11.0
3.5,100,11,3,2,33501,305508,15,170,170,1,15,85,0.19142857142857142,0,224ef15caed67cf2,"(95, 0)",0.0,,,0.0,0.0,69.0,5.0
3.5,100,11,3,2,33501,305508,16,168,168,1,16,84,0.19714285714285715,0,224ef15caed67cf2,"(81, 0)",0.0,,,0.0,0.0,75.0,13.0
3.5,100,11,3,2,33501,305508,17,166,166,1,17,83,0.21428571428571427,0,224ef15caed67cf2,"(93, 0)",0.0,,,0.0,0.0,77.0,7.0
3.5,100,11,3,2,33501,305508,18,164,164,1,18,82,0.22,0,224ef15caed67cf2,"(18, 1)",0.0,,,0.0,0.0,81.0,5.0
3.5,100,11,3,2,33501,305508,19,162,162,1,19,81,0.23142857142857143,0,224ef15caed67cf2,"(49, 0)",0.0,,,0.0,0.0,89.0,10.0
